stage,transport_coefficient_K,perlin_seed,mean_bed_elevation,std_bed_elevation,min_bed_elevation,max_bed_elevation,mean_velocity,max_erosion_rate,mean_water_depth,max_velocity
86,0.075318,1961580235,9.992844,0.005319,9.961977,10.008600,13.438315,1357296.652573,0.500000,14.142136
87,0.103700,1452443472,9.992845,0.005323,9.967170,10.000200,13.441748,2311890.373153,0.500000,14.142136
88,0.092827,272667080,9.992845,0.005323,9.966622,10.000200,13.443502,1820939.179381,0.500000,14.142136
89,0.124372,737197672,9.992840,0.005330,9.964600,10.000200,13.446257,2406236.509278,0.500000,14.142136
90,0.088989,862064952,9.992836,0.005329,9.966039,10.004818,13.431880,1672289.780666,0.500000,14.142136
91,0.133531,439576141,9.992837,0.005319,9.968400,10.000200,13.440227,2891951.307633,0.500000,14.142136
92,0.088102,1488221966,9.992838,0.005322,9.968092,10.006800,13.442393,1840001.781458,0.500000,14.142136
93,0.127904,1442487695,9.992839,0.005331,9.961200,10.000200,13.441894,2206382.542068,0.500000,14.142136
94,0.088348,1881063074,9.992839,0.005328,9.964858,10.009000,13.444415,1692849.195939,0.500000,14.142136
95,0.118147,2005817329,9.992855,0.005320,9.968000,10.004000,13.447611,2178570.839813,0.500000,14.142136
96,0.141491,2041157228,9.992845,0.005317,9.965600,10.009600,13.442809,2776215.808373,0.500000,14.142136
97,0.076487,1662146145,9.992841,0.005314,9.969800,10.000200,13.436375,1406203.571151,0.500000,14.142136
98,0.084981,1001872104,9.992845,0.005313,9.964600,10.009600,13.434150,1675223.925434,0.500000,14.142136
99,0.145407,626177457,9.992828,0.005320,9.968291,10.008000,13.443508,2901504.283738,0.500000,14.142136
100,0.108901,1169138588,9.992837,0.005321,9.968881,10.000200,13.448089,1947192.734690,0.500000,14.142136
