cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.044030,9.992101,9.996047,9.995082,9.993753,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.037599,9.997599,9.990000,9.989200,9.999800,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.043600,9.983600,9.989600,10.000200,9.990000,9.989600,9.990000,9.999800,9.988000,10.048000
3,10.035000,9.995000,9.988800,9.989600,9.988800,9.999800,9.998751,9.989600,9.996600,10.036600
4,10.045600,9.985600,9.989600,10.000200,9.990000,9.999764,9.997020,9.989600,9.989200,10.049200
5,10.036200,9.996200,9.989600,9.990000,10.000200,9.989600,9.989200,10.000200,9.989200,10.049200
6,10.043200,9.983200,10.000200,9.989600,9.999800,9.990000,9.989600,9.989600,9.997800,10.037800
7,10.042823,9.982823,9.990000,9.998600,9.990000,9.998600,9.999400,9.989600,9.989600,10.049600
8,10.032600,9.992600,9.990000,9.998600,9.999800,9.990000,9.999800,9.990000,9.988800,10.048800
9,10.044800,9.984800,9.999000,9.989600,9.999181,9.988163,9.999176,9.989200,9.999000,10.039000
10,10.045395,9.985395,9.990000,9.999000,9.990000,9.999000,9.989200,9.990000,9.997000,10.037000
11,10.038928,9.998928,9.990000,9.989600,9.999400,10.000200,9.990000,9.999400,9.988400,10.048400
12,10.034200,9.994200,9.990000,9.989600,9.989609,9.989977,10.000200,9.989600,9.998600,10.038600
13,10.039200,9.979200,9.986400,9.999800,9.986800,9.999087,9.989600,9.990000,9.996200,10.036200
14,10.037200,9.977200,9.995600,9.997000,9.998600,9.997400,9.988800,9.999800,9.988000,10.048000
15,10.028600,9.988600,9.997817,9.988800,9.987200,9.989490,9.998600,9.989600,9.989600,10.049600
16,10.029455,9.989455,9.990000,9.984800,9.998632,9.990000,9.998600,9.990000,9.999000,10.039000
17,10.038800,9.978800,9.995200,9.994200,9.999800,9.989600,9.988000,10.000200,9.988000,10.048000
18,10.033000,9.993000,9.989200,9.990000,9.989518,9.999800,9.989600,9.990000,9.997000,10.037000
19,10.043687,9.983687,9.995200,9.994600,9.987754,9.999489,9.999208,9.990000,9.989600,10.049600
20,10.045600,9.985600,9.990000,9.995000,10.000014,9.989327,9.990000,9.999800,9.989600,10.049600
21,10.033156,9.993156,9.989200,9.987200,10.000200,9.989926,9.999038,9.989600,9.999400,10.039400
22,10.043861,9.983861,9.999800,9.987200,9.989200,9.998872,9.989600,9.989600,9.997000,10.037000
23,10.044000,9.984000,9.989600,9.999800,9.989600,9.999800,10.000200,9.990000,9.988400,10.048400
24,10.035400,9.995400,9.996600,9.987304,9.999800,9.989600,9.999800,9.989200,9.988000,10.048000
25,10.035223,9.995223,9.987600,9.988413,10.000200,9.988330,9.990000,10.000200,9.997000,10.037000
26,10.046051,9.986051,9.989200,9.998731,9.990000,9.999800,9.989600,9.989200,9.997000,10.037000
27,10.036719,9.996719,9.989600,9.998041,9.990000,9.997800,9.999800,9.990000,9.988400,10.048400
28,10.035820,9.995820,9.990000,9.988400,9.989600,9.989600,9.999800,9.988000,9.998600,10.038600
29,10.044108,9.984108,9.999800,9.985200,9.999200,9.990000,9.987600,9.999800,9.995800,10.035800
30,10.045600,9.985600,9.990000,9.999586,9.999800,9.999400,9.999400,9.988000,9.988400,10.048400
31,10.033400,9.993400,9.989600,9.993800,9.989600,9.990000,9.999400,9.999800,10.000200,10.040200
32,10.038538,9.978538,9.999000,9.986400,9.999000,9.986567,9.990000,9.989600,9.998200,10.038200
33,10.028139,9.988139,9.990000,9.993800,9.990000,9.996013,9.989600,9.999000,9.990000,10.050000
34,10.037600,9.977600,10.000200,9.996124,9.985184,9.999754,9.999800,9.990000,9.998799,10.038799
35,10.041600,9.981600,9.990000,9.985600,10.000200,9.990000,9.989200,9.990000,9.996600,10.036600
36,10.028739,9.988739,9.999800,9.982000,9.999400,9.989727,10.000200,9.989200,9.988800,10.048800
37,10.023934,9.983934,9.988800,9.999400,9.988800,9.998964,9.988800,9.990000,9.999000,10.039000
38,10.036712,9.976712,9.999800,9.981800,9.987966,9.989200,9.999400,9.989600,9.996600,10.036600
39,10.044800,9.984800,9.989600,9.996200,9.999800,9.986800,10.000200,9.990000,9.989600,10.049600
40,10.035288,9.995288,9.999800,9.989600,9.999800,10.000083,9.990000,9.999800,9.999400,10.039400
41,10.036187,9.996187,9.988800,9.988400,9.989600,9.999640,9.990000,9.988000,9.995800,10.035800
42,10.044800,9.984800,9.992400,9.999400,9.999800,9.990000,9.999800,9.989600,9.982800,10.042800
43,10.036606,9.996606,9.985600,9.999400,9.989840,9.999800,9.989600,9.990000,9.996200,10.036200
44,10.034215,9.994215,9.996400,9.990000,10.000200,9.989600,9.986400,9.999400,9.984800,10.044800
45,10.040000,9.980000,9.990000,10.000200,9.998200,9.999400,9.999400,9.990000,9.989200,10.049200
46,10.028600,9.988600,9.999800,9.989600,9.986800,9.999411,9.998219,9.990000,9.998600,10.038600
47,10.037200,9.977200,9.990000,9.999400,9.990000,9.989600,9.990000,9.999800,9.988800,10.048800
48,10.038000,9.978000,10.000200,9.989200,10.000200,9.989217,9.998653,9.989200,9.988800,10.048800
49,10.028943,9.988943,9.990000,9.986400,9.998902,9.997800,9.989600,9.990000,9.997000,10.037000
50,10.041600,9.981600,9.997200,9.993800,9.989200,9.998200,9.988400,9.999400,9.988400,10.048400
51,10.042400,9.982400,9.993600,9.997051,9.989600,9.997400,9.999800,9.990000,9.988800,10.048800
52,10.034928,9.994928,9.989200,9.990000,9.989200,9.989600,9.993000,9.989600,9.993400,10.033400
53,10.046809,9.986809,10.000200,9.989200,9.999800,9.989200,9.989600,9.990000,9.996600,10.036600
54,10.048800,9.988800,9.989600,9.999247,9.989426,9.999400,9.987462,9.999400,9.986800,10.046800
55,10.035634,9.995634,9.989600,9.989200,9.990000,9.989200,9.999800,9.989600,9.996600,10.036600
56,10.046400,9.986400,10.000200,9.987770,9.999001,9.988696,9.997488,9.990000,9.989200,10.049200
57,10.046400,9.986400,9.989600,9.996964,9.989600,10.000200,9.988800,10.000200,9.988000,10.048000
58,10.036501,9.996501,9.990000,9.992391,9.989233,9.988400,9.997703,9.989600,9.995400,10.035400
59,10.037661,9.997661,9.987200,9.988400,9.997930,9.999800,9.989600,9.999800,9.989200,10.049200
60,10.043479,9.983479,9.999800,9.988938,9.999800,9.999138,9.990000,9.989600,9.996600,10.036600
61,10.036670,9.996670,9.989600,9.997000,9.988812,9.989949,10.000200,9.989600,9.988400,10.048400
62,10.046478,9.986478,10.000200,9.988400,9.999800,9.988400,9.999158,9.989200,9.989200,10.049200
63,10.036005,9.996005,9.990000,9.989600,9.988800,9.997800,9.989600,9.990000,9.998600,10.038600
64,10.047600,9.987600,9.990000,9.995800,9.989076,9.999800,9.990000,9.999400,9.989600,10.049600
65,10.044800,9.984800,9.990000,9.995637,9.999800,9.990000,9.999400,9.990000,9.988800,10.048800
66,10.034200,9.994200,9.997200,9.986329,9.999800,9.999800,9.990000,9.990000,9.998600,10.038600
67,10.034206,9.994206,9.986400,9.985600,9.989200,9.999800,9.989600,9.999800,9.989200,10.049200
68,10.042400,9.982400,9.984291,9.998415,9.989600,9.989600,9.999238,9.989600,9.989600,10.049600
69,10.029800,9.989800,9.995600,9.986800,10.000200,9.988729,9.999593,9.990000,9.998825,10.038825
70,10.031513,9.991513,9.980800,9.987581,9.999800,9.999800,10.000027,9.989600,9.995400,10.035400
71,10.042000,9.982000,9.993600,10.000200,9.989600,9.998986,9.989922,9.999400,9.987200,10.047200
72,10.045200,9.985200,9.990000,9.996586,9.988435,9.989290,9.999753,9.989200,9.995800,10.035800
73,10.035807,9.995807,9.990000,9.985161,10.000200,9.990000,9.989600,9.990000,9.994200,10.034200
74,10.045871,9.985871,9.999400,9.988000,9.999800,9.999486,9.999899,9.989600,9.987200,10.047200
75,10.043600,9.983600,9.990000,9.999594,9.989600,9.999979,9.990000,9.990000,9.996862,10.036862
76,10.034938,9.994938,9.990000,9.987606,10.000200,9.989933,9.999800,9.989600,9.987200,10.047200
77,10.035953,9.995953,9.990000,9.987750,9.998600,9.999400,9.989600,9.990000,9.996600,10.036600
78,10.046000,9.986000,9.999800,9.988000,9.989600,9.999000,9.989200,9.999800,9.989600,10.049600
79,10.046400,9.986400,9.990000,9.999800,9.990000,9.999400,10.000200,9.990000,9.989600,10.049600
80,10.035569,9.995569,9.989600,9.988000,9.999800,9.988000,9.999000,9.990000,9.999400,10.039400
81,10.047187,9.987187,10.000200,9.988627,9.989600,9.990000,9.989600,10.000200,9.986400,10.046400
82,10.046400,9.986400,9.990000,9.999400,9.990000,9.999800,9.990000,9.989200,9.996600,10.036600
83,10.036200,9.996200,9.990000,9.988800,9.999800,9.990000,9.999800,9.990000,9.988800,10.048800
84,10.037000,9.997000,9.987600,9.989092,9.990000,9.989581,9.990000,9.988800,9.999400,10.039400
85,10.045200,9.985200,9.990000,10.000200,9.990000,10.000200,9.989600,9.990000,9.997400,10.037400
86,10.031400,9.991400,9.990000,9.988800,10.000085,9.989091,9.999800,9.990000,9.989600,10.049600
87,10.030045,9.990045,9.992800,9.986977,9.998600,9.989240,10.000200,9.989600,9.999400,10.039400
88,10.039600,9.979600,9.988800,9.999913,9.989600,9.999800,9.989600,9.990000,9.997000,10.037000
89,10.042008,9.982008,9.999000,9.989600,9.998600,9.989600,9.990000,9.999800,9.988400,10.048400
90,10.034769,9.994769,9.990000,9.985115,9.997400,9.990000,9.999400,9.989600,9.989200,10.049200
91,10.046000,9.986000,9.990000,10.000200,9.987600,9.999632,9.989600,9.990000,9.999000,10.039000
92,10.044400,9.984400,9.988800,9.999800,9.988400,10.000200,9.990000,10.000200,9.987600,10.047600
93,10.036674,9.996674,9.987600,9.990000,9.988400,9.990000,9.998608,9.990000,9.998200,10.038200
94,10.048000,9.988000,10.000200,9.989600,9.998200,9.989600,9.990000,9.999800,9.989600,10.049600
95,10.036600,9.996600,9.989600,9.997400,9.989854,9.997800,9.989600,9.999800,9.989600,10.049600
96,10.036229,9.996229,9.990000,9.989600,9.998308,9.990000,9.999800,9.989600,9.999000,10.039000
97,10.045906,9.985906,9.990000,9.998200,9.989600,9.999723,9.989600,9.990000,9.997400,10.037400
98,10.029000,9.989000,9.990000,9.998600,9.989600,9.990000,9.990000,9.999800,9.988800,10.048800
99,10.039600,9.979600,9.990000,9.997871,10.000200,9.990000,9.999800,9.990000,9.998600,10.038600
100,10.040800,9.980800,10.000200,9.987600,9.988984,9.999400,9.999800,9.990000,9.995800,10.035800
101,10.034110,9.994110,9.989600,9.999268,9.990000,9.989485,9.988914,10.000200,9.988000,10.048000
102,10.045641,9.985641,9.990000,9.999579,9.990000,9.989817,9.999079,9.989600,9.989200,10.049200
103,10.036104,9.996104,9.989600,9.989600,9.999547,9.999311,9.999340,9.990000,9.999800,10.039800
104,10.045669,9.985669,9.996600,9.986400,9.997000,9.989600,9.989280,9.999800,9.990000,10.050000
105,10.046087,9.986087,9.989600,9.999400,9.988987,9.999423,9.997498,9.990000,9.989600,10.049600
106,10.036333,9.996333,9.988400,9.988400,9.997000,9.989600,9.990000,9.999200,9.994200,10.034200
107,10.045902,9.985902,9.994000,9.997400,9.989200,9.999800,9.997673,9.985200,9.988800,10.048800
108,10.045871,9.985871,9.990000,9.996200,9.986800,9.999462,9.995852,9.990000,9.996600,10.036600
109,10.033502,9.993502,9.990000,9.986373,9.998600,9.989479,9.990000,10.000200,9.990000,10.050000
110,10.043686,9.983686,9.999800,9.987600,10.000200,10.000200,9.989600,9.999800,9.989600,10.049600
111,10.030779,9.990779,9.990000,9.997812,9.989200,9.990000,9.999710,9.990000,9.999400,10.039400
112,10.035000,9.995000,9.999400,9.987200,9.999400,9.988326,9.989600,9.990000,9.997400,10.037400
113,10.046400,9.986400,9.990000,9.998200,9.987200,9.999208,9.986800,9.999800,9.986800,10.046800
114,10.046280,9.986280,9.989600,9.998200,9.998566,9.987606,9.998417,9.990000,9.997400,10.037400
115,10.035210,9.995210,9.990000,9.985831,9.997800,10.000200,9.989892,10.000200,9.990000,10.050000
116,10.047657,9.987657,10.000200,9.986440,9.999669,9.999800,9.989600,9.999800,9.988800,10.048800
117,10.046057,9.986057,9.989200,9.997659,9.986919,9.989248,9.999800,9.989600,9.999800,10.039800
118,10.034224,9.994224,9.989600,9.998446,9.988704,9.989600,9.999883,9.989600,9.990000,10.050000
119,10.032837,9.992837,9.990000,9.988490,10.000071,9.988661,9.999800,9.989600,9.987600,10.047600
120,10.042000,9.982000,9.993200,9.998339,9.988400,9.998200,9.989600,9.998200,9.999000,10.039000
121,10.030516,9.990516,9.989600,9.998184,9.999800,9.998200,9.990000,9.990000,9.994200,10.034200
122,10.030116,9.990116,9.989600,9.990000,9.988800,9.990000,10.000200,9.990000,9.988400,10.048400
123,10.040257,9.980257,9.999800,9.987508,9.999800,9.989600,9.999800,9.988400,9.988800,10.048800
124,10.041600,9.981600,9.988800,9.997400,9.989600,9.998200,9.989600,9.989600,9.997000,10.037000
125,10.035682,9.995682,9.996600,9.988425,9.999400,9.990000,9.999000,9.989200,9.996600,10.036600
126,10.037580,9.977580,9.985200,9.988723,10.000200,9.998200,9.989200,9.998600,9.985200,10.045200
127,10.036422,9.976422,9.999400,9.995000,9.989803,9.988800,9.999400,9.988800,9.993800,10.033800
