cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.039267,9.987267,9.995718,9.994847,9.993028,9.994318,9.987557,9.995882,9.979769,10.031298
1,10.032600,9.992600,9.990000,9.988800,9.999075,10.000200,9.993385,9.990000,9.986200,10.026200
2,10.041200,9.981200,9.993400,9.988000,9.988942,9.988800,9.988000,10.000200,9.988800,10.048800
3,10.031000,9.991000,9.990000,9.997714,9.999282,9.999651,9.999135,9.990000,9.995400,10.035400
4,10.045589,9.985589,10.000200,9.987886,9.990000,9.989011,9.999400,9.990000,9.990000,10.050000
5,10.033400,9.993400,9.990000,9.996200,9.999800,9.995800,9.990000,9.996000,9.989200,10.049200
6,10.044000,9.984000,9.990000,10.000200,9.990000,9.990000,9.999059,9.990000,9.998600,10.038600
7,10.035477,9.995477,9.990000,9.990000,10.000200,9.999450,9.990000,9.999800,9.989200,10.049200
8,10.047200,9.987200,9.990000,10.000200,9.989600,9.989600,9.999375,9.989600,10.000200,10.040200
9,10.035589,9.995589,9.990000,9.999000,9.999800,9.999800,9.999800,9.990000,9.988400,10.048400
10,10.042094,9.982094,9.990000,9.990000,9.990000,9.989600,9.990000,10.000200,9.998200,10.038200
11,10.032200,9.992200,10.000200,9.989543,9.999606,9.999926,9.990000,10.000200,9.989600,10.049600
12,10.043200,9.983200,9.999800,9.990000,9.990000,9.990000,9.999800,9.990000,9.999400,10.039400
13,10.033139,9.993139,9.989600,9.997660,9.999800,9.998998,9.990000,9.990000,9.998200,10.038200
14,10.034960,9.994960,9.999800,9.989200,9.999800,9.999661,9.990000,9.999800,9.989200,10.049200
15,10.045519,9.985519,9.989261,9.998200,9.989600,9.990000,9.999629,9.990000,9.988800,10.048800
16,10.047372,9.987372,9.999800,9.989200,9.999800,9.998785,9.989600,9.990000,9.999400,10.039400
17,10.035400,9.995400,9.990000,9.998200,9.989487,9.989515,9.999155,9.989600,9.990000,10.050000
18,10.048425,9.988425,9.999800,9.989525,9.998721,9.999473,9.989297,9.999400,9.990000,10.050000
19,10.034421,9.994421,9.990000,9.998189,9.990000,9.989600,9.999338,9.990000,9.999400,10.039400
20,10.048800,9.988800,9.999800,9.989600,9.999726,10.000200,9.989600,9.999800,9.987600,10.047600
21,10.034771,9.994771,9.990000,9.998200,9.989414,9.989600,9.998800,9.990000,9.997000,10.037000
22,10.038800,9.978800,10.000200,9.989200,9.998704,10.000200,9.989410,9.999800,9.988800,10.048800
23,10.038800,9.978800,9.990000,9.997360,9.985906,9.990000,9.998714,9.990000,9.988400,10.048400
24,10.030409,9.990409,9.989600,9.994265,9.988460,9.990000,9.998820,9.990000,9.998200,10.038200
25,10.030758,9.990758,9.991600,9.986400,9.987427,9.999400,9.999038,9.990000,9.988000,10.048000
26,10.043911,9.983911,9.986400,9.999108,9.987886,9.990000,9.998268,9.990000,9.998600,10.038600
27,10.031478,9.991478,9.990000,9.997794,9.987639,9.990000,9.999169,9.990000,9.988800,10.048800
28,10.039783,9.979783,9.999800,9.985982,9.999143,9.990000,9.998577,9.990000,9.989200,10.049200
29,10.040040,9.980040,9.990000,9.997072,9.988482,9.989427,9.999713,9.990000,9.999400,10.039400
30,10.028356,9.988356,9.990000,9.985436,9.999339,9.990000,9.999248,9.990000,9.989600,10.049600
31,10.037153,9.977153,10.000200,9.995654,9.987775,9.989200,9.999800,9.989600,9.989200,10.049200
32,10.040181,9.980181,9.999800,9.987968,9.999036,9.989600,9.998994,9.990000,9.999400,10.039400
33,10.034322,9.994322,9.990000,9.995707,9.988615,9.989200,9.999800,9.990000,9.989200,10.049200
34,10.043988,9.983988,9.999800,9.996406,9.988792,9.996877,9.999754,9.990000,9.999400,10.039400
35,10.033902,9.993902,9.989600,9.995574,9.989256,9.989813,9.998600,9.989600,9.988000,10.048000
36,10.045000,9.985000,9.999800,9.987288,10.000186,9.988000,9.999800,9.990000,9.999800,10.039800
37,10.035000,9.995000,9.990000,9.995896,9.989113,9.989965,10.000200,9.989600,9.989200,10.049200
38,10.045869,9.985869,9.990000,9.998820,9.990000,9.990000,9.999740,9.989200,9.999400,10.039400
39,10.044570,9.984570,9.990000,9.998961,10.000148,9.989337,9.999000,9.989600,9.989200,10.049200
40,10.036200,9.996200,9.999800,9.988000,10.000200,9.997394,9.989200,9.988984,9.999800,10.039800
41,10.046385,9.986385,9.990000,9.999361,9.989268,9.990000,10.000200,9.990000,9.998600,10.038600
42,10.035253,9.995253,9.990000,9.987414,9.999714,9.997400,9.988800,9.996000,9.987600,10.047600
43,10.043873,9.983873,9.990000,9.997358,9.988793,9.989600,9.999400,9.989600,9.998200,10.038200
44,10.033287,9.993287,9.999800,9.989017,9.999199,9.995400,9.988800,9.994800,9.988800,10.048800
45,10.045190,9.985190,9.990000,9.996890,9.990000,9.990000,9.999000,9.989600,9.989200,10.049200
46,10.036736,9.996736,9.988400,9.989200,10.000200,9.998465,9.988800,9.988400,9.998600,10.038600
47,10.046524,9.986524,9.988400,10.000200,9.988798,9.989200,9.999153,10.000200,9.989600,10.049600
48,10.039081,9.999081,9.990000,9.989757,10.000200,10.000200,9.990000,9.999800,9.989600,10.049600
49,10.047693,9.987693,9.990000,9.999800,9.989600,9.990000,9.999400,9.990000,9.999400,10.039400
50,10.048800,9.988800,9.999800,9.989600,9.999800,9.989600,9.989600,9.999800,9.989536,10.049536
51,10.038881,9.998881,9.990000,9.999000,9.989600,10.000200,9.999800,9.990000,9.989600,10.049600
52,10.043035,9.983035,10.000200,9.989200,10.000200,9.998943,9.989600,9.989600,9.999400,10.039400
53,10.028991,9.988991,9.990000,9.999183,9.990000,9.990000,10.000200,9.990000,9.990000,10.050000
54,10.041074,9.981074,9.999800,9.989199,9.990000,9.999068,9.989600,9.999934,9.990000,10.050000
55,10.029798,9.989798,9.990000,9.999800,9.989600,9.989612,9.999229,9.990000,9.998600,10.038600
