cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.041267,9.989267,9.995718,9.995647,9.993228,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.034600,9.994600,9.990000,9.989600,9.999275,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.043600,9.983600,9.989200,9.999800,9.989600,9.990000,9.989200,9.999800,9.988000,10.048000
3,10.034600,9.994600,10.000200,9.989600,9.990000,9.999800,9.999192,9.990000,9.996600,10.036600
4,10.044800,9.984800,9.989600,9.999800,9.990000,9.999067,9.998284,9.990000,9.990000,10.050000
5,10.038200,9.998200,9.990000,9.990000,9.999800,9.990000,9.990000,10.000200,9.989600,10.049600
6,10.046800,9.986800,10.000200,9.989600,9.999800,9.989918,9.988800,9.989600,9.998200,10.038200
7,10.043200,9.983200,9.990000,9.999800,9.990000,9.999980,9.999800,9.989600,9.989600,10.049600
8,10.033000,9.993000,9.990000,9.999800,10.000200,9.990000,10.000200,9.990000,9.990000,10.050000
9,10.044800,9.984800,9.999800,9.989600,10.000200,9.989479,9.999578,9.990000,9.998802,10.038802
10,10.046089,9.986089,9.989600,10.000200,9.989654,9.999800,9.990000,9.989600,9.997400,10.037400
11,10.039000,9.999000,9.996600,9.989600,9.999800,9.999800,9.990000,9.999800,9.988000,10.048000
12,10.035000,9.995000,9.987600,9.989600,9.990000,9.990000,9.999800,9.989600,9.999000,10.039000
13,10.040000,9.980000,9.990000,10.000200,9.988800,9.998876,9.989600,9.990000,9.996200,10.036200
14,10.039082,9.979082,9.995644,9.997800,9.997008,9.998510,9.990000,9.999800,9.989200,10.049200
15,10.028200,9.988200,9.987200,9.987254,9.989600,9.989901,9.998874,9.990000,9.989600,10.049600
16,10.030165,9.990165,9.994800,9.990000,9.998667,9.990000,9.998600,9.990000,9.999000,10.039000
17,10.039272,9.979272,9.990000,9.997400,9.999800,9.990000,9.986800,10.000200,9.987083,10.047083
18,10.030600,9.990600,9.990000,9.990000,9.989200,10.000200,9.989600,9.990000,9.997000,10.037000
19,10.041114,9.981114,9.992000,9.995800,9.986808,9.989600,9.999561,9.990000,9.989600,10.049600
20,10.043857,9.983857,9.989600,9.999000,9.999720,9.988785,9.989600,10.000200,9.989600,10.049600
21,10.033970,9.993970,9.990000,9.986845,9.999800,9.989961,9.999338,9.990000,9.998600,10.038600
22,10.044612,9.984612,10.000200,9.988567,9.989600,9.998910,9.989600,9.990000,9.997400,10.037400
23,10.045600,9.985600,9.990000,9.995482,9.990000,9.997800,9.999590,9.990000,9.986400,10.046400
24,10.034008,9.994008,9.998400,9.988800,9.997800,9.990000,9.999800,9.990000,9.997800,10.037800
25,10.036219,9.996219,9.987200,9.989600,9.996600,9.989600,9.988724,10.000200,9.988400,10.048400
26,10.046000,9.986000,9.988133,10.000200,9.989200,9.998600,9.989600,9.989600,9.999400,10.039400
27,10.035469,9.995469,9.989600,9.998200,9.989600,9.998200,9.999800,9.989600,9.989200,10.049200
28,10.035210,9.995210,9.989200,9.989600,9.999800,9.989600,9.999800,9.988400,9.999400,10.039400
29,10.044400,9.984400,10.000200,9.990000,9.999341,9.990000,9.989600,9.989600,9.997000,10.037000
30,10.045600,9.985600,9.990000,9.999800,9.999800,9.999800,9.999800,9.989600,9.988400,10.048400
31,10.036073,9.996073,9.990000,10.000200,9.988400,9.990000,9.999559,9.989600,9.989200,10.049200
32,10.046966,9.986966,9.999800,9.989600,9.998987,9.989600,9.989600,9.990000,9.998600,10.038600
33,10.035789,9.995789,9.990000,9.990000,9.988000,9.999800,9.989600,9.999800,9.989420,10.049420
34,10.044800,9.984800,9.989600,10.000200,9.989600,10.000110,9.999800,9.989600,9.998546,10.038546
35,10.045200,9.985200,9.987200,9.999400,10.000200,9.989333,9.990000,9.990000,9.997000,10.037000
36,10.033927,9.993927,9.993053,9.989600,10.000200,9.989893,9.999800,9.989200,9.988400,10.048400
37,10.032600,9.992600,9.990000,9.988000,9.990000,9.999800,9.989600,9.990000,9.999000,10.039000
38,10.041200,9.981200,9.990000,9.998600,9.990000,9.989600,9.997400,9.989600,9.997400,10.037400
39,10.043600,9.983600,9.986400,9.998273,10.000200,9.990000,10.000200,9.990000,9.989600,10.049600
40,10.030200,9.990200,9.991200,9.987297,10.000200,9.999426,9.989600,9.988400,9.999800,10.039800
41,10.031012,9.991012,9.990000,9.987200,9.988800,10.000200,9.990000,9.989600,9.995800,10.035800
42,10.040400,9.980400,9.990000,9.996568,9.999800,9.990000,9.999400,9.989600,9.987200,10.047200
43,10.028523,9.988523,9.985600,9.997400,9.989915,9.999958,9.989600,9.990000,9.995800,10.035800
44,10.029000,9.989000,9.999800,9.990000,9.990000,9.990000,9.989200,9.999800,9.989200,10.049200
45,10.039600,9.979600,9.990000,9.998443,9.999188,9.999714,9.998742,9.990000,9.989600,10.049600
46,10.032056,9.992056,9.990000,9.989600,9.990000,9.999247,9.998442,9.990000,9.998200,10.038200
