cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.044467,9.992467,9.995718,9.996047,9.992992,9.994318,9.992271,9.995718,9.982169,10.033698
1,10.037800,9.997800,9.990000,9.990000,9.999039,10.000200,9.997988,9.990000,9.988600,10.028600
2,10.040800,9.980800,9.999400,9.990000,9.999800,9.990000,9.986314,9.999800,9.986000,10.046000
3,10.040800,9.980800,9.990000,9.999800,9.990000,10.000200,9.989600,9.990000,9.997800,10.037800
4,10.030600,9.990600,9.989600,9.999800,10.000200,10.000200,9.999136,9.990000,9.994200,10.034200
5,10.040490,9.980490,10.000200,9.988400,9.999790,9.988430,9.988084,10.000200,9.987200,10.047200
6,10.032378,9.992378,9.990000,9.999800,10.000200,9.990000,9.989600,9.989600,9.996600,10.036600
7,10.045311,9.985311,9.990000,10.000200,9.989600,9.998684,9.999000,9.989600,9.989600,10.049600
8,10.034514,9.994514,9.989600,9.987600,9.989200,9.989600,9.999000,9.989600,9.989600,10.049600
9,10.046400,9.986400,9.999400,9.989600,10.000200,9.990000,9.998623,9.989600,9.999000,10.039000
10,10.045200,9.985200,9.990000,9.999800,9.990000,9.999800,9.989600,9.990000,9.997800,10.037800
11,10.038600,9.998600,9.990000,9.989600,9.999748,10.000184,9.990000,9.999800,9.988400,10.048400
12,10.046400,9.986400,10.000200,9.988400,9.989200,9.990000,9.999800,9.989600,9.988400,10.048400
13,10.044800,9.984800,9.990000,9.999000,9.989600,9.999788,9.989600,9.990000,9.999000,10.039000
14,10.036735,9.996735,9.987200,9.988400,9.999400,9.999000,9.990000,9.989600,9.997000,10.037000
15,10.033039,9.993039,9.990000,9.989970,9.988800,9.990000,10.000200,9.989600,9.989200,10.049200
16,10.039587,9.979587,9.990000,9.999400,9.999400,9.989600,9.999000,9.990000,9.988800,10.048800
17,10.039396,9.979396,10.000200,9.989567,10.000200,9.990000,9.989600,9.990000,9.999800,10.039800
18,10.031346,9.991346,9.989600,9.999089,9.989600,9.999043,9.989600,9.989600,9.997400,10.037400
19,10.044000,9.984000,9.990000,10.000200,9.989600,9.999050,9.999800,9.990000,9.988800,10.048800
20,10.044800,9.984800,9.989600,9.999400,9.999723,9.989935,9.989200,9.998200,9.987600,10.047600
21,10.035583,9.995583,9.988800,9.989600,9.999800,9.989600,9.999800,9.989200,9.997400,10.037400
22,10.036402,9.996402,9.985600,9.990000,9.989600,9.999000,9.988000,9.996400,9.986400,10.046400
23,10.041810,9.981810,10.000200,10.000200,9.990000,9.999968,9.998172,9.989200,9.999800,10.039800
24,10.036555,9.996555,9.990000,9.990000,9.999800,9.990000,10.000200,9.997000,9.989200,10.049200
25,10.046400,9.986400,9.990000,10.000200,9.990000,9.990000,9.990000,9.989600,9.995000,10.035000
26,10.030226,9.990226,9.990000,9.999000,9.989600,9.996078,9.999800,9.989600,9.997000,10.037000
27,10.042000,9.982000,9.999400,9.982000,9.999079,9.997946,9.989200,9.998600,9.988400,10.048400
28,10.028600,9.988600,9.990000,9.999028,9.989600,9.989800,10.000200,9.990000,9.997800,10.037800
29,10.039200,9.979200,9.983400,9.998200,9.989600,9.994400,9.989600,9.990000,9.989600,10.049600
30,10.037712,9.977712,9.995600,9.989400,9.999000,9.989600,9.999400,9.990000,9.999800,10.039800
31,10.030711,9.990711,9.990000,9.999800,9.989600,10.000200,9.998600,9.985600,9.998200,10.038200
32,10.037148,9.977148,9.999000,9.989600,9.999042,9.990000,9.999000,9.989600,9.989600,10.049600
33,10.030889,9.990889,9.990000,9.999800,9.990000,9.999800,9.989200,9.989600,9.999400,10.039400
34,10.040141,9.980141,9.990000,9.999800,9.989600,9.990000,9.997256,9.990000,9.995000,10.035000
35,10.047075,9.987075,9.999800,9.986926,9.999681,9.988930,9.988400,9.999800,9.988800,10.048800
36,10.034356,9.994356,9.990000,9.986400,9.999796,9.999800,9.999800,9.990000,9.989600,10.049600
37,10.044489,9.984489,9.989579,9.997400,9.988940,9.998541,9.999552,9.986800,9.999400,10.039400
38,10.034150,9.994150,9.990000,9.998670,9.989200,9.990000,9.990000,9.990000,9.996600,10.036600
39,10.046575,9.986575,9.999800,9.985822,9.999800,9.988885,9.999400,9.989200,9.988800,10.048800
40,10.034786,9.994786,9.989600,9.986186,9.999800,9.999800,9.990000,9.987600,9.998600,10.038600
41,10.035193,9.995193,9.990000,9.996902,9.987600,9.999850,9.990000,9.989600,9.995800,10.035800
42,10.043302,9.983302,9.990000,9.997800,9.989600,9.989600,10.000200,9.989600,9.988000,10.048000
43,10.045528,9.985528,9.994800,9.996700,9.997400,9.989910,9.990000,9.989600,9.999000,10.039000
44,10.034949,9.994949,9.990000,9.990000,9.999800,9.990000,9.999800,9.989600,9.996600,10.036600
45,10.045885,9.985885,9.990000,9.999400,9.990000,9.999104,9.999356,9.988400,9.988000,10.048000
46,10.038396,9.998396,9.990000,9.989778,9.999800,9.989600,9.988800,9.999800,9.988800,10.048800
47,10.046800,9.986800,9.990000,9.997164,9.990000,9.999400,9.990000,9.988800,9.999000,10.039000
48,10.037663,9.997663,9.990000,9.989681,9.989600,9.990000,9.999083,9.989600,9.997400,10.037400
49,10.042998,9.982998,9.994400,9.997000,9.998200,9.989600,9.999800,9.989600,9.988800,10.048800
50,10.032448,9.992448,9.988000,9.990000,9.999865,9.999800,9.989600,9.989600,9.998600,10.038600
51,10.041600,9.981600,9.992200,9.987132,9.988425,10.000009,9.990000,9.989600,9.996200,10.036200
52,10.042800,9.982800,9.990000,9.995000,9.989200,9.990000,9.999244,9.990000,9.988400,10.048400
53,10.033858,9.993858,9.992800,9.986800,9.997620,9.987749,9.989600,10.000200,9.989600,10.049600
54,10.035000,9.995000,9.986800,9.998359,9.997800,9.999762,9.989200,9.989600,9.998600,10.038600
55,10.045600,9.985600,9.998000,9.999800,9.989496,9.999952,9.997800,9.989600,9.998200,10.038200
56,10.035056,9.995056,9.988000,9.990000,9.998150,9.990000,9.998573,9.990000,9.988800,10.048800
57,10.036221,9.996221,9.989600,9.989200,9.989600,10.000200,9.989401,10.000200,9.988400,10.048400
58,10.045036,9.985036,9.989600,9.998600,9.989600,9.989600,9.998481,9.990000,9.998200,10.038200
59,10.035800,9.995800,9.990000,9.988800,10.000200,9.989200,9.989600,9.999800,9.990000,10.050000
60,10.036491,9.996491,9.989600,9.989200,9.990000,9.999397,9.990000,9.990000,9.999800,10.039800
61,10.044400,9.984400,9.990000,9.999800,9.987600,10.000200,9.997400,9.990000,9.997000,10.037000
62,10.038600,9.998600,9.987600,9.985200,10.000200,9.989200,9.999800,9.989600,9.986000,10.046000
63,10.045200,9.985200,9.997400,9.990000,10.000200,9.999800,9.989600,9.990000,9.997000,10.037000
64,10.031800,9.991800,9.990000,9.999400,9.989600,10.000200,9.990000,9.999800,9.988000,10.048000
65,10.029701,9.989701,9.989600,10.000200,9.990000,9.990000,9.999800,9.989600,9.989600,10.049600
66,10.041600,9.981600,9.993716,10.000200,10.000200,9.999193,9.989600,9.990000,9.997400,10.037400
67,10.031723,9.991723,9.990000,9.989200,9.998631,10.000200,9.990000,9.999800,9.988800,10.048800
68,10.034793,9.994793,9.990000,9.990000,9.989777,9.990000,9.999800,9.990000,9.989600,10.049600
69,10.049189,9.989189,9.999800,10.000200,9.998600,9.988917,10.000200,9.990000,9.999400,10.039400
70,10.046400,9.986400,9.988800,9.999400,9.990000,9.999646,9.990000,10.000200,9.989600,10.049600
71,10.034734,9.994734,9.996800,9.989138,9.998760,9.999800,9.989600,9.989600,9.997800,10.037800
72,10.044000,9.984000,9.990000,9.998609,9.990000,9.989600,9.998712,9.990000,9.994200,10.034200
73,10.045347,9.985347,9.999800,9.988763,9.999000,9.986400,9.990000,10.000200,9.986800,10.046800
74,10.037266,9.997266,9.990000,9.989600,9.990000,9.999657,9.988800,9.990000,9.996170,10.036170
75,10.047993,9.987993,9.990000,9.999800,9.988202,10.000200,9.999460,9.990000,9.988800,10.048800
76,10.048400,9.988400,9.989600,9.999400,9.999800,9.989113,9.997016,9.990000,9.989600,10.049600
