cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.042067,9.990067,9.995718,9.996047,9.993720,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.035400,9.995400,9.990000,9.990000,9.999767,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.042400,9.982400,9.994400,9.999800,9.989999,9.989600,9.990000,9.999800,9.988000,10.048000
3,10.033400,9.993400,9.988800,9.999800,9.989600,10.000200,9.997734,9.990000,9.997000,10.037000
4,10.044703,9.984703,9.989600,10.000200,9.989686,9.998764,9.999213,9.990000,9.989600,10.049600
5,10.038200,9.998200,9.989200,9.990000,9.999693,9.989600,9.988918,9.999800,9.990000,10.050000
6,10.047200,9.987200,10.000200,9.988800,10.000200,9.989600,9.999400,9.989600,9.998200,10.038200
7,10.043200,9.983200,9.990000,10.000200,9.990000,9.999400,9.988967,9.999400,9.986000,10.046000
8,10.033000,9.993000,9.989200,9.999400,9.999400,9.989200,9.999800,9.989600,9.997800,10.037800
9,10.043600,9.983600,9.999400,9.989200,9.998284,9.989600,9.999800,9.989600,9.989200,10.049200
10,10.044000,9.984000,9.990000,9.999000,9.989279,9.998866,9.990000,9.990000,9.999400,10.039400
11,10.033532,9.993532,9.989048,9.988800,9.998141,9.999400,9.990000,9.999800,9.989200,10.049200
12,10.045200,9.985200,9.990800,9.992200,9.984800,9.989700,9.999800,9.989200,9.998200,10.038200
13,10.034820,9.994820,9.988000,9.994200,9.989413,9.999800,9.989200,9.989600,9.997000,10.037000
14,10.036600,9.996600,9.992800,9.990000,9.993800,9.998200,9.988800,9.999400,9.988400,10.048400
15,10.046800,9.986800,9.988000,9.994600,9.981600,9.990000,9.999000,9.989600,9.988800,10.048800
16,10.047600,9.987600,9.993600,9.987400,9.999417,9.989200,9.999441,9.990000,9.999400,10.039400
17,10.036700,9.996700,9.987600,9.995600,9.999513,9.990000,9.989200,9.999800,9.988800,10.048800
18,10.036600,9.996600,9.986000,9.990000,9.988400,9.999800,9.989600,9.989600,9.998590,10.038590
19,10.041600,9.981600,9.985600,9.996600,9.988324,9.999139,9.999400,9.989600,9.997000,10.037000
20,10.028200,9.988200,9.983200,9.999000,9.999800,9.989456,9.990000,10.000200,9.989200,10.049200
21,10.035975,9.975975,10.000200,9.988526,9.999400,9.990000,9.999239,9.990000,9.997800,10.037800
22,10.025800,9.985800,9.990000,9.990000,9.989200,9.999663,9.990000,9.989600,9.995800,10.035800
23,10.029023,9.989023,9.990000,9.998446,9.989600,9.999800,9.999000,9.990000,9.987600,10.047600
