cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.043667,9.991667,9.995413,9.996047,9.992622,9.992530,9.992853,9.995333,9.982718,10.034482
1,10.037000,9.997000,9.989600,9.990000,9.998600,9.998600,9.999120,9.990000,9.988600,10.028600
2,10.042800,9.982800,9.996600,9.990000,9.997400,9.987881,9.986512,10.000200,9.986800,10.046800
3,10.042400,9.982400,9.990000,9.999400,9.988800,9.999340,9.988400,9.990000,9.999000,10.039000
4,10.032600,9.992600,9.989200,9.997000,9.997400,9.999038,9.997559,9.990000,9.995800,10.035800
5,10.040400,9.980400,9.999800,9.981200,9.999400,9.988380,9.988202,10.000200,9.987600,10.047600
6,10.032158,9.992158,9.989200,9.997000,9.999800,9.989504,9.989200,9.989600,9.996600,10.036600
7,10.033400,9.993400,10.000200,9.989600,9.990000,9.999068,9.999447,9.989600,9.989600,10.049600
8,10.043600,9.983600,9.999800,9.987200,9.999734,9.990000,9.999800,9.990000,9.989600,10.049600
9,10.035318,9.995318,9.990000,9.999400,9.999400,9.989602,9.999143,9.989600,9.999000,10.039000
10,10.044800,9.984800,10.000200,9.999400,9.989600,9.998571,9.990000,9.990000,9.997800,10.037800
11,10.038289,9.998289,9.987200,9.990000,9.998873,9.999400,9.990000,9.999800,9.989200,10.049200
12,10.037000,9.997000,9.987600,9.995800,9.990000,9.990000,9.999800,9.989600,9.989200,10.049200
13,10.042400,9.982400,9.990800,9.999000,9.988400,9.998720,9.989600,9.990000,9.999000,10.039000
14,10.039000,9.999000,9.986000,9.989600,9.999000,9.999091,9.989600,9.989600,9.997400,10.037400
15,10.041200,9.981200,9.995000,9.989600,9.989200,9.989200,10.000200,9.989200,9.989200,10.049200
16,10.038000,9.978000,9.990000,10.000200,9.999000,9.988800,9.999185,9.990000,9.988400,10.048400
17,10.028200,9.988200,10.000200,9.984800,9.999800,9.989200,9.989200,9.989200,9.999400,10.039400
18,10.037689,9.977689,9.986000,9.999800,9.989756,9.998430,9.989600,9.989600,9.996600,10.036600
19,10.038800,9.978800,9.988000,9.997800,9.988000,9.999800,9.993245,9.990000,9.987200,10.047200
20,10.026163,9.986163,9.995200,9.983083,9.999800,9.989433,9.990000,10.000200,9.988800,10.048800
21,10.031626,9.991626,9.990000,9.987851,9.999963,9.990000,9.999242,9.990000,9.999000,10.039000
22,10.042306,9.982306,9.990000,9.994600,9.990000,9.999854,9.990000,9.989600,9.996200,10.036200
23,10.043600,9.983600,10.000200,9.997727,9.988091,9.999800,10.000200,9.990000,9.988400,10.048400
24,10.033701,9.993701,9.990000,9.989600,9.998200,9.989600,9.999800,9.989600,9.990000,10.050000
25,10.033562,9.993562,9.990000,9.989600,9.996200,9.990000,9.989600,9.990000,9.999000,10.039000
26,10.046400,9.986400,9.997200,10.000200,9.990000,9.999017,9.989600,9.990000,9.996200,10.036200
27,10.042939,9.982939,9.990000,9.999400,9.988800,9.999400,9.986000,9.999800,9.983600,10.043600
28,10.035401,9.995401,9.989600,9.989600,9.990000,9.989600,9.999275,9.988800,9.996000,10.036000
29,10.046000,9.986000,10.000200,9.990000,10.000200,9.990000,9.995916,9.989600,9.987200,10.047200
30,10.045762,9.985762,9.990000,9.999800,9.990000,9.999543,9.990000,9.989600,9.995757,10.035757
31,10.032983,9.992983,9.990000,9.999800,9.999800,9.990000,9.990800,9.990000,9.997916,10.037916
