cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.043267,9.991267,9.995718,9.996047,9.993753,9.993682,9.993635,9.996047,9.988333,10.039933
1,10.036600,9.996600,9.990000,9.990000,9.999800,9.999400,9.999682,9.990000,9.994600,10.034600
2,10.043200,9.983200,9.990000,9.999800,9.987714,9.989718,9.988000,9.999800,9.986000,10.046000
3,10.033800,9.993800,9.989200,9.996600,9.989600,9.999800,9.989600,9.989600,9.995800,10.035800
4,10.045200,9.985200,9.990000,9.999800,9.990000,9.999800,10.000200,9.990000,9.988000,10.048000
5,10.039000,9.999000,9.999800,9.989600,9.999800,9.989600,9.988800,10.000200,9.989200,10.049200
6,10.036200,9.996200,9.990000,9.990000,9.995800,9.990000,9.989600,9.989600,9.999000,10.039000
7,10.042400,9.982400,9.990000,9.998600,9.990000,9.999375,9.999400,9.989200,9.990000,10.050000
8,10.028200,9.988200,9.992000,9.990000,9.996200,9.990000,10.000200,9.990000,9.989600,10.049600
9,10.029048,9.989048,9.990000,9.998200,9.999000,9.988551,9.998976,9.989200,9.999000,10.039000
10,10.039200,9.979200,9.998400,9.997750,9.987858,9.998200,9.988800,9.990000,9.997000,10.037000
11,10.034824,9.994824,9.988800,9.987249,9.999400,10.000200,9.988800,9.999800,9.986800,10.046800
12,10.033845,9.993845,9.988800,9.996200,9.989961,9.989095,9.997400,9.988800,9.997800,10.037800
13,10.041200,9.981200,9.990000,9.999800,9.990000,10.000200,9.988800,9.999800,9.989200,10.049200
14,10.033000,9.993000,9.999800,9.990000,10.000200,9.998309,9.989200,9.988800,9.998600,10.038600
15,10.040226,9.980226,9.990000,9.999800,9.990000,9.989600,9.999800,9.989600,9.986400,10.046400
16,10.030235,9.990235,9.982000,9.990000,9.999000,9.989200,9.998600,9.990000,9.996200,10.036200
17,10.033818,9.993818,9.989200,9.987200,9.996600,9.989200,9.988400,10.000200,9.988400,10.048400
18,10.039592,9.979592,9.989600,10.000200,9.989600,9.998600,9.989600,9.990000,9.995800,10.035800
19,10.044302,9.984302,9.995000,9.986800,9.989200,10.000070,9.999382,9.990000,9.989200,10.049200
20,10.033940,9.993940,9.990000,9.988800,9.999000,9.989450,9.990000,10.000200,9.989600,10.049600
21,10.043692,9.983692,9.990000,9.995800,9.999800,9.990000,9.999701,9.989600,9.998600,10.038600
22,10.034358,9.994358,10.000200,9.989514,9.989075,10.000200,9.989200,9.999800,9.987698,10.047698
23,10.047266,9.987266,9.990000,9.995148,9.989600,9.998779,9.999498,9.989600,9.998600,10.038600
24,10.034248,9.994248,10.000200,9.989200,9.999400,9.990000,9.999014,9.990000,9.989200,10.049200
25,10.035761,9.995761,9.987600,9.989600,9.999400,9.987600,9.989600,9.989600,9.999400,10.039400
26,10.046500,9.986500,9.989600,9.997217,9.990000,9.999800,9.989200,9.990000,9.998600,10.038600
27,10.034901,9.994901,9.989600,9.999400,9.989600,9.998600,9.989600,9.999800,9.989200,10.049200
28,10.046043,9.986043,9.990000,9.997293,9.989600,9.990000,9.998650,9.990000,9.989200,10.049200
29,10.038712,9.998712,9.998600,9.990000,9.998200,9.990000,9.990000,9.990000,9.999000,10.039000
30,10.041671,9.981671,9.990000,9.996304,9.989274,9.999800,9.989200,10.000200,9.988277,10.048277
31,10.033800,9.993800,9.990000,10.000200,10.000200,9.989600,9.990000,9.990000,9.997400,10.037400
32,10.041928,9.981928,10.000200,9.990000,10.000200,9.989600,9.999800,9.990000,9.990000,10.050000
33,10.035036,9.995036,9.990000,9.989600,9.989600,9.999803,9.990000,9.990000,9.999800,10.039800
34,10.045600,9.985600,9.990000,9.999000,9.988400,9.990000,9.998736,9.990000,9.997000,10.037000
35,10.046000,9.986000,9.989600,10.000200,9.999400,9.989600,9.988873,9.999800,9.988400,10.048400
36,10.035000,9.995000,9.987600,9.988953,9.997000,9.999800,9.998489,9.990000,9.988800,10.048800
37,10.035911,9.995911,9.986400,9.989600,9.989600,9.999800,9.999770,9.990000,9.999400,10.039400
38,10.046000,9.986000,9.990000,10.000200,9.987200,9.989600,9.990000,9.990000,9.997400,10.037400
39,10.045138,9.985138,9.990000,10.000200,10.000200,9.989966,9.999800,9.990000,9.987600,10.047600
40,10.034756,9.994756,9.987600,9.990000,9.999800,9.998946,9.990000,9.990000,9.997400,10.037400
41,10.035831,9.995831,9.986800,9.990000,9.989200,9.999800,9.989200,9.999400,9.987600,10.047600
42,10.046400,9.986400,9.990000,10.000200,9.989438,9.990000,9.999400,9.990000,9.989600,10.049600
43,10.045200,9.985200,9.990000,9.999800,9.990000,9.990000,9.989600,9.990000,9.999800,10.039800
44,10.039379,9.999379,9.988800,9.989600,9.999800,10.000100,9.999000,9.990000,9.997800,10.037800
45,10.046000,9.986000,10.000200,9.990000,9.999400,9.999800,9.999386,9.990000,9.989200,10.049200
46,10.041200,9.981200,9.990000,10.000200,9.989200,9.989200,9.989138,10.000200,9.988800,10.048800
47,10.031397,9.991397,9.989600,9.999800,9.988000,9.999800,9.988173,9.990000,9.999400,10.039400
48,10.043200,9.983200,10.000200,9.986857,9.999400,9.989632,9.994269,9.990000,9.997000,10.037000
49,10.044271,9.984271,9.990000,9.999000,10.000200,9.987879,9.988903,10.000200,9.988400,10.048400
50,10.035000,9.995000,9.989600,9.987600,9.989200,9.999307,9.989600,9.990000,9.996600,10.036600
51,10.046192,9.986192,9.987200,9.999000,9.989600,9.999400,9.995400,9.990000,9.995400,10.035400
52,10.046800,9.986800,9.987600,10.000200,9.990000,9.989600,9.999676,9.990000,9.988400,10.048400
53,10.038572,9.998572,9.990000,9.989600,10.000200,9.990000,9.989600,10.000200,9.989600,10.049600
54,10.037000,9.997000,9.990000,9.989600,9.990000,9.999734,9.990000,9.990000,9.999000,10.039000
55,10.040800,9.980800,9.996307,9.998600,9.998993,9.990000,9.997760,9.990000,9.997800,10.037800
56,10.029400,9.989400,9.987600,9.998600,9.999800,9.989600,9.999800,9.990000,9.988400,10.048400
57,10.040400,9.980400,10.000200,9.988705,9.989097,9.999800,9.988400,10.000200,9.987600,10.047600
58,10.039600,9.979600,9.990000,9.998200,9.989291,9.989200,9.999800,9.989600,9.996200,10.036200
59,10.032718,9.992718,9.989600,9.988800,9.999800,9.999800,9.987163,9.999800,9.985945,10.045945
60,10.036151,9.996151,9.997800,9.989600,9.989600,10.000200,9.989002,9.990000,9.996600,10.036600
61,10.046000,9.986000,9.988800,9.999400,9.989200,9.989600,9.999753,9.990000,9.988800,10.048800
62,10.044047,9.984047,9.994093,9.998200,9.999303,9.989600,10.000200,9.989600,9.988400,10.048400
63,10.027800,9.987800,9.992800,9.988000,10.000200,9.999800,9.989600,9.990000,9.998200,10.038200
64,10.028843,9.988843,9.985590,9.986400,9.989746,9.999800,9.989600,9.999800,9.989200,10.049200
65,10.037200,9.977200,9.989200,9.994600,9.988800,9.990000,9.999800,9.990000,9.989600,10.049600
66,10.038400,9.978400,9.983200,9.999000,9.995400,9.999169,9.989600,9.990000,9.997000,10.037000
67,10.029087,9.989087,9.992800,9.985200,9.988800,9.999800,9.988000,9.999800,9.987200,10.047200
68,10.031400,9.991400,9.986400,10.000200,9.989200,9.989600,9.999587,9.990000,9.988400,10.048400
