cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.045298,9.993769,9.995333,9.995098,9.993753,9.994082,9.991337,9.996047,9.982733,10.034333
1,10.040200,10.000200,9.990000,9.989600,9.999800,9.999800,9.997384,9.990000,9.989000,10.029000
2,10.047200,9.987200,9.999400,9.987200,9.988000,9.989385,9.988400,9.999800,9.988000,10.048000
3,10.032600,9.992600,9.990000,10.000200,9.990000,10.000200,9.990000,9.990000,9.998600,10.038600
4,10.033000,9.993000,9.988800,9.999000,9.999800,9.999400,10.000200,9.990000,9.998600,10.038600
5,10.040800,9.980800,10.000200,9.988400,9.999800,9.988800,9.988534,10.000200,9.988000,10.048000
6,10.031918,9.991918,9.990000,9.998600,10.000200,9.989600,9.989200,9.990000,9.997400,10.037400
7,10.045387,9.985387,9.990000,9.997400,9.989713,9.993057,9.999800,9.989600,9.990000,10.050000
8,10.034988,9.994988,9.989600,9.988000,9.995172,9.990000,9.999756,9.989600,9.990000,10.050000
9,10.045200,9.985200,10.000200,9.986800,9.999400,9.984400,9.999400,9.990000,9.999800,10.039800
10,10.044886,9.984886,9.990000,9.999400,9.990000,9.999800,9.989200,9.990000,9.998600,10.038600
11,10.037400,9.997400,9.989600,9.986800,9.999800,9.999400,9.989200,10.000200,9.988000,10.048000
12,10.044800,9.984800,9.991800,9.988800,9.989600,9.989600,10.000200,9.989600,9.988000,10.048000
13,10.042800,9.982800,9.990000,9.998600,9.990000,9.999184,9.989200,9.990000,9.999400,10.039400
14,10.035800,9.995800,9.996600,9.988800,9.998600,9.998600,9.989600,9.989600,9.997400,10.037400
15,10.036020,9.996020,9.986000,9.989200,9.989600,9.990000,10.000200,9.988000,9.986800,10.046800
16,10.044400,9.984400,9.998800,10.000200,9.999400,9.990000,9.999400,9.988000,9.987600,10.047600
17,10.031803,9.991803,9.987600,9.989600,9.999800,9.990000,9.989600,9.989200,9.998600,10.038600
18,10.032316,9.992316,9.989200,9.989200,9.989600,9.999400,9.989600,9.989600,9.996200,10.036200
19,10.042800,9.982800,9.991200,9.999400,9.988000,9.998789,9.999595,9.990000,9.988400,10.048400
20,10.045600,9.985600,9.985600,9.997400,9.998600,9.989600,9.990000,10.000200,9.989200,10.049200
21,10.034638,9.994638,9.987677,9.988800,9.999377,9.990000,9.999164,9.990000,9.999400,10.039400
22,10.033400,9.993400,9.999800,9.997800,9.989600,9.999728,9.990000,9.990000,9.997800,10.037800
23,10.040261,9.980261,9.990000,9.999400,9.989600,9.999800,9.999237,9.990000,9.987600,10.047600
24,10.027525,9.987525,9.999800,9.987200,9.999600,9.987200,9.999800,10.000200,9.988800,10.048800
25,10.038620,9.978620,9.990000,9.998249,9.989207,9.989219,9.989200,9.990000,9.999000,10.039000
26,10.031400,9.991400,9.990000,9.994572,9.989200,9.999940,9.989600,9.990000,9.997000,10.037000
27,10.043277,9.983277,10.000200,9.987424,9.999800,9.999800,9.988400,9.999400,9.988000,10.048000
28,10.031487,9.991487,9.989600,9.994200,9.989292,9.986400,9.999800,9.990000,9.998200,10.038200
29,10.044665,9.984665,10.000200,9.987414,9.999800,9.990000,10.000200,9.990000,9.989200,10.049200
30,10.043665,9.983665,9.990000,9.994200,9.989600,9.992160,9.988800,9.990000,10.000200,10.040200
31,10.035992,9.995992,9.990000,9.999800,9.989200,9.990000,10.000200,9.990000,9.998200,10.038200
32,10.045250,9.985250,9.999800,9.986800,10.000200,9.990000,10.000200,9.990000,9.990000,10.050000
33,10.035751,9.995751,9.990000,9.988800,9.990000,9.999485,9.989600,9.990000,9.999400,10.039400
34,10.044000,9.984000,9.990000,9.999150,9.988698,9.989600,9.999994,9.990000,9.996200,10.036200
35,10.046806,9.986806,10.000200,9.988000,10.000200,9.989263,9.989620,10.000200,9.988400,10.048400
36,10.036124,9.996124,9.990000,9.989600,10.000200,9.999654,9.999197,9.989200,9.989600,10.049600
37,10.047418,9.987418,9.990000,9.999716,9.989233,9.999208,9.999697,9.990000,9.999800,10.039800
38,10.037197,9.997197,9.990000,9.999800,9.990000,9.989600,9.990000,9.989600,9.998597,10.038597
39,10.044800,9.984800,10.000200,9.988156,10.000200,9.989200,9.999400,9.990000,9.988000,10.048000
40,10.037931,9.997931,9.990000,9.989600,10.000200,9.999800,9.990000,9.999800,9.999000,10.039000
41,10.034200,9.994200,9.990000,9.990000,9.990000,9.999492,9.990000,9.990000,9.995000,10.035000
42,10.038400,9.978400,9.988000,9.995000,9.988400,9.989600,9.998600,9.989200,9.989600,10.049600
43,10.028600,9.988600,9.984400,9.996600,9.999800,9.989600,9.989600,9.989600,9.998200,10.038200
44,10.027237,9.987237,9.999800,9.990000,9.998200,9.999400,9.998600,9.989600,9.996200,10.036200
45,10.037200,9.977200,9.989200,9.996573,9.988400,9.996662,9.998263,9.990000,9.989200,10.049200
46,10.030019,9.990019,9.998800,9.989253,9.998376,9.989200,9.989200,10.000200,9.988800,10.048800
47,10.040674,9.980674,9.995356,9.995764,9.988487,9.999800,9.988400,9.989600,9.998600,10.038600
48,10.030754,9.990754,9.990000,9.990000,9.990000,9.989600,9.997104,9.989600,9.997400,10.037400
49,10.043772,9.983772,9.997018,9.995800,9.994886,9.990000,9.999800,9.989600,9.989200,10.049200
50,10.033747,9.993747,9.990000,9.988143,9.999860,9.999596,9.989600,9.988000,9.999000,10.039000
51,10.045907,9.985907,10.000200,9.989600,9.990000,10.000200,9.990000,9.990000,9.996600,10.036600
52,10.045200,9.985200,9.990000,9.998235,9.989391,9.990000,9.999676,9.990000,9.989200,10.049200
53,10.035026,9.995026,10.000200,9.989307,9.999000,9.988426,9.989600,9.999800,9.989200,10.049200
54,10.035400,9.995400,9.986400,9.997074,9.998600,10.000015,9.989200,9.990000,9.999000,10.039000
55,10.044800,9.984800,9.990800,9.999583,9.989600,10.000200,9.997400,9.990000,9.996600,10.036600
56,10.034973,9.994973,9.990000,9.990000,9.999249,9.990000,9.998915,9.990000,9.989200,10.049200
57,10.035333,9.995333,9.989200,9.987573,9.989600,9.999800,9.989997,9.999400,9.988800,10.048800
58,10.045600,9.985600,9.989200,9.999800,9.989200,9.989600,9.999287,9.989600,9.999300,10.039300
59,10.035400,9.995400,9.989200,9.987971,10.000200,9.988000,9.989600,9.999800,9.989600,10.049600
