cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.044442,9.992442,9.995718,9.996047,9.992651,9.993133,9.992758,9.996047,9.979133,10.030733
1,10.037775,9.997775,9.990000,9.990000,9.998698,9.998851,9.998805,9.990000,9.985400,10.025400
2,10.045600,9.985600,9.996200,9.990000,9.996600,9.990000,9.987179,9.999000,9.987200,10.047200
3,10.043600,9.983600,9.990000,9.999800,9.989600,10.000200,9.989455,9.990000,9.999400,10.039400
4,10.033464,9.993464,9.989600,9.997800,9.996600,9.990000,9.999618,9.990000,9.996600,10.036600
5,10.042000,9.982000,9.999800,9.989200,9.999400,9.989301,9.989397,10.000200,9.986923,10.046923
6,10.042000,9.982000,9.990000,9.997400,9.997000,9.989701,9.989600,9.989600,9.997000,10.037000
7,10.032929,9.992929,9.996813,9.988400,9.989600,9.994186,9.998906,9.990000,9.990000,10.050000
8,10.034830,9.994830,9.988400,9.994800,9.998600,9.990000,9.998775,9.990000,9.988800,10.048800
9,10.045495,9.985495,9.997400,9.988000,9.999800,9.988800,9.998741,9.990000,9.999000,10.039000
10,10.043200,9.983200,9.989600,9.999800,9.990000,9.999400,9.988800,9.990000,9.997800,10.037800
11,10.030200,9.990200,9.999200,9.988400,9.999800,9.999400,9.988800,10.000200,9.988400,10.048400
12,10.033945,9.993945,9.986800,9.999000,9.989600,9.989600,9.999800,9.989600,9.989200,10.049200
13,10.043509,9.983509,10.000200,9.999800,9.988800,9.998904,9.989200,9.990000,9.999000,10.039000
14,10.032384,9.992384,9.987600,9.989200,9.996797,9.999519,9.990000,9.990000,9.997800,10.037800
15,10.035711,9.995711,9.986800,9.988400,9.987200,9.988800,9.999400,9.990000,9.990000,10.050000
16,10.043936,9.983936,9.992000,9.997994,9.997400,9.989600,9.997898,9.990000,9.990000,10.050000
17,10.036285,9.996285,9.989600,9.990000,9.999400,9.989600,9.989200,9.990000,9.999800,10.039800
18,10.043833,9.983833,9.988569,9.999800,9.989600,10.000200,9.990000,9.990000,9.997000,10.037000
19,10.037800,9.997800,9.989200,9.999800,9.989600,9.999539,9.999635,9.990000,9.989200,10.049200
20,10.044819,9.984819,9.990000,9.999800,9.999800,9.989600,9.989200,10.000200,9.988000,10.048000
21,10.037495,9.997495,9.988000,9.989200,10.000200,9.989600,9.998744,9.989200,9.998200,10.038200
22,10.045200,9.985200,9.995800,9.989072,9.986800,9.999157,9.989200,9.989600,9.996600,10.036600
23,10.040800,9.980800,9.990000,9.999400,9.990000,9.999959,9.999832,9.990000,9.987200,10.047200
24,10.032423,9.992423,9.998200,9.989200,9.999327,9.988800,9.996200,10.000200,9.989600,10.049600
25,10.029851,9.989851,9.990000,9.988400,9.999400,9.990000,9.983876,9.990000,9.997400,10.037400
26,10.038800,9.978800,9.989200,9.997000,9.989200,9.996200,9.996400,9.990000,9.996200,10.036200
27,10.036547,9.976547,9.997000,9.988400,9.988400,9.994781,9.987200,10.000200,9.986800,10.046800
28,10.028200,9.988200,9.989600,9.999800,9.989600,9.990000,9.999800,9.989600,9.998200,10.038200
29,10.041225,9.981225,10.000200,9.988800,9.999800,9.989200,9.999800,9.990000,9.988800,10.048800
30,10.042312,9.982312,9.990000,9.999400,9.990000,9.999800,9.990000,9.990000,9.999400,10.039400
31,10.033672,9.993672,9.989600,9.999506,9.999685,9.989600,9.999800,9.990000,9.997800,10.037800
32,10.047413,9.987413,9.999800,9.987600,9.999400,9.990000,9.999800,9.989600,9.989600,10.049600
33,10.035570,9.995570,9.990000,9.989600,9.989200,9.999594,9.990000,9.990000,9.999474,10.039474
34,10.046400,9.986400,9.990000,9.999800,9.990000,9.990000,9.998366,9.990000,9.996600,10.036600
35,10.045508,9.985508,9.988000,9.990000,9.999800,9.989198,9.989727,10.000200,9.989200,10.049200
36,10.034296,9.994296,10.000200,9.988157,10.000037,9.999800,9.999320,9.989600,9.989600,10.049600
37,10.044662,9.984662,9.990000,9.999400,9.990000,9.998888,9.999454,9.990000,9.999670,10.039670
38,10.035627,9.995627,9.989200,9.999400,9.988717,9.990000,9.989600,9.990000,9.997800,10.037800
39,10.043728,9.983728,10.000200,9.984800,9.999000,9.989200,9.999590,9.990000,9.986800,10.046800
40,10.034594,9.994594,9.990000,9.994400,9.999800,9.999800,9.990000,9.989600,9.997000,10.037000
41,10.036056,9.996056,9.990000,9.987600,9.990000,10.000142,9.989200,10.000200,9.988800,10.048800
42,10.043600,9.983600,9.991600,9.994200,9.988000,9.988800,9.999228,9.989200,9.988400,10.048400
43,10.037000,9.997000,9.988800,10.000200,9.999000,9.989600,9.989600,9.990000,9.999000,10.039000
44,10.039101,9.979101,9.997800,9.983600,9.996200,9.998888,9.999400,9.990000,9.997000,10.037000
45,10.027000,9.987000,9.989600,9.999110,9.987200,9.999149,9.998457,9.990000,9.986800,10.046800
46,10.038000,9.978000,9.998400,9.982444,9.996200,9.990000,9.989026,10.000200,9.988800,10.048800
47,10.037400,9.977400,9.990000,9.998146,9.990000,10.000200,9.990000,9.989600,9.998200,10.038200
48,10.031719,9.991719,10.000200,9.984000,9.989600,9.990000,9.996789,9.990000,9.997000,10.037000
49,10.038529,9.978529,9.990000,9.997000,10.000200,9.990000,10.000200,9.989600,9.988400,10.048400
50,10.029236,9.989236,9.989600,9.987853,9.999369,9.999800,9.989600,10.000200,9.998200,10.038200
51,10.040483,9.980483,9.999800,9.988198,9.989914,9.999619,9.990000,9.990000,9.995400,10.035400
52,10.042219,9.982219,10.000200,9.989385,9.993600,9.989019,9.999624,9.989200,9.988800,10.048800
53,10.033538,9.993538,9.987600,9.997000,9.989593,9.990000,9.989600,9.999800,9.989200,10.049200
54,10.036086,9.996086,9.987200,9.990000,10.000200,9.999000,9.986692,9.989200,9.999400,10.039400
55,10.045359,9.985359,10.000200,9.997267,9.989338,9.989600,9.998314,9.990000,9.997000,10.037000
56,10.035400,9.995400,9.988800,9.989372,9.998464,9.990000,9.998780,9.989600,9.988400,10.048400
57,10.036007,9.996007,9.988800,9.989600,9.989600,10.000200,9.989600,10.000200,9.988800,10.048800
58,10.046000,9.986000,9.988800,9.996929,9.988823,9.989600,9.998847,9.989200,9.998200,10.038200
59,10.036611,9.996611,9.988800,9.990000,9.998778,9.989009,9.988400,9.999800,9.988000,10.048000
