cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.041431,9.989502,9.996047,9.995882,9.993602,9.993741,9.995718,9.996047,9.989133,10.040733
1,10.035000,9.995000,9.990000,9.990000,9.999649,9.999458,9.990000,9.990000,9.995400,10.035400
2,10.042000,9.982000,9.990000,9.999800,9.989200,9.990000,9.989600,9.999800,9.988000,10.048000
3,10.033800,9.993800,9.989200,9.999000,9.989600,9.999800,9.998874,9.990000,9.997000,10.037000
4,10.044101,9.984101,9.990000,10.000200,9.989600,9.999428,9.998416,9.989200,9.989600,10.049600
5,10.038803,9.998803,9.989052,9.990000,9.999800,9.990000,9.988400,10.000200,9.989600,10.049600
6,10.046800,9.986800,10.000200,9.988400,10.000200,9.989600,10.000200,9.990000,9.998200,10.038200
7,10.042400,9.982400,9.990000,10.000200,9.989393,10.000200,9.989600,9.999800,9.990000,10.050000
8,10.029800,9.989800,9.989200,9.993800,9.999800,9.990000,9.999800,9.990000,9.999400,10.039400
9,10.040451,9.980451,9.992000,9.979800,9.998168,9.989200,9.999649,9.990000,9.988000,10.048000
10,10.042400,9.982400,9.989200,9.999800,9.990000,10.000200,9.990000,10.000200,9.997800,10.037800
11,10.036278,9.996278,9.990000,9.989600,9.998445,9.999800,9.990000,9.999800,9.989600,10.049600
12,10.044825,9.984825,10.000200,10.000200,9.990000,9.989600,10.000200,9.989600,9.998600,10.038600
13,10.035046,9.995046,9.989600,9.990000,9.999800,9.999669,9.990000,9.990000,9.997800,10.037800
14,10.035000,9.995000,9.990000,9.989600,9.999800,9.998744,9.988800,9.999800,9.988400,10.048400
15,10.043200,9.983200,9.987200,9.999800,9.990000,9.990000,9.999800,9.989600,9.989600,10.049600
16,10.045600,9.985600,9.987200,9.998384,9.999648,9.990000,9.999447,9.990000,9.999800,10.039800
17,10.035400,9.995400,9.990000,9.990000,9.999385,9.989600,9.989600,10.000200,9.989600,10.049600
18,10.034200,9.994200,9.990000,9.990000,9.989600,9.999800,9.989600,9.990000,9.999400,10.039400
19,10.041156,9.981156,9.987200,9.999473,9.988000,9.999915,9.999800,9.990000,9.996600,10.036600
20,10.027035,9.987035,9.988000,9.997410,9.999800,9.989522,9.990000,10.000200,9.989600,10.049600
21,10.038400,9.978400,9.999800,9.985600,10.000200,9.990000,9.999024,9.989600,9.998600,10.038600
22,10.028245,9.988245,9.990000,9.986595,9.990000,9.999688,9.989600,9.990000,9.996200,10.036200
23,10.030956,9.990956,9.990000,9.998303,9.990000,9.999800,9.999089,9.990000,9.989200,10.049200
24,10.042194,9.982194,10.000200,9.988000,10.000200,9.989600,10.000200,9.990000,9.999400,10.039400
25,10.034627,9.994627,9.990000,9.987054,9.999437,9.989200,9.998830,9.989600,9.989600,10.049600
26,10.045200,9.985200,9.990000,9.995800,9.990000,9.999175,9.990000,9.990000,9.999800,10.039800
27,10.036873,9.996873,9.990000,9.996600,9.989450,9.999000,9.999745,9.990000,9.990000,10.050000
28,10.035622,9.995622,9.989600,9.989492,9.997400,9.989801,9.999270,9.990000,9.990000,10.050000
29,10.043695,9.983695,9.999000,9.988000,9.999800,9.989659,9.990000,9.990000,9.998600,10.038600
30,10.035800,9.995800,10.000200,9.989600,9.999000,9.999800,9.999715,9.990000,9.989200,10.049200
31,10.034200,9.994200,9.990000,9.999800,9.990000,10.000200,9.999626,9.990000,9.988800,10.048800
32,10.045200,9.985200,9.990000,10.000200,9.989600,9.989925,9.989600,9.990000,9.997400,10.037400
33,10.034200,9.994200,9.990000,9.999400,9.999800,9.999800,9.990000,9.999800,9.987600,10.047600
34,10.037400,9.997400,9.990000,9.990000,9.989430,9.999820,9.999728,9.990000,9.998600,10.038600
35,10.046400,9.986400,9.999800,9.986400,9.999800,9.988976,9.997188,9.990000,9.999000,10.039000
36,10.036200,9.996200,9.990000,9.999800,9.999800,9.990000,9.990000,10.000200,9.989600,10.049600
37,10.032600,9.992600,9.990000,9.989600,9.990000,9.999800,9.989200,9.990000,9.999000,10.039000
38,10.040800,9.980800,9.990000,9.999800,9.989600,9.989600,9.997871,9.990000,9.997800,10.037800
39,10.043160,9.983160,9.999800,9.988035,9.995692,9.989104,10.000200,9.990000,9.989200,10.049200
40,10.032600,9.992600,9.990000,9.988400,9.999400,9.998812,9.989600,9.987600,9.998200,10.038200
41,10.045163,9.985163,9.989200,9.999000,9.989200,10.000200,9.989600,9.989600,9.996200,10.036200
42,10.044000,9.984000,10.000200,9.988400,10.000200,9.988925,9.999400,9.990000,9.988000,10.048000
43,10.037168,9.997168,9.990000,9.990000,9.990000,9.999800,9.990000,9.990000,9.997000,10.037000
44,10.046400,9.986400,9.990000,10.000200,9.989600,9.988967,9.989600,10.000200,9.989200,10.049200
45,10.037800,9.997800,9.989200,9.990000,10.000200,9.999800,9.999619,9.990000,9.989600,10.049600
46,10.037400,9.997400,9.987600,9.989600,9.989200,9.998954,9.999015,9.990000,9.998600,10.038600
47,10.042400,9.982400,9.991600,9.999800,9.990000,9.990000,9.989773,10.000200,9.990000,10.050000
48,10.031445,9.991445,9.984800,9.999659,10.000200,9.989528,9.999800,9.990000,9.989600,10.049600
49,10.039512,9.979512,9.999800,9.990000,9.999869,10.000036,9.990000,9.990000,9.998200,10.038200
50,10.039277,9.979277,9.990000,9.999800,9.988356,9.990000,9.988400,9.999800,9.988000,10.048000
51,10.033038,9.993038,9.990000,9.997638,9.989500,9.999783,9.999800,9.989600,9.990000,10.050000
52,10.046772,9.986772,10.000200,9.986800,9.999000,9.989099,9.999786,9.990000,9.999000,10.039000
53,10.043545,9.983545,9.990000,9.996979,9.999400,9.990000,9.989542,9.999800,9.988930,10.048930
54,10.033129,9.993129,9.988722,9.988000,9.988400,9.996964,9.984793,10.000200,9.988400,10.048400
55,10.044000,9.984000,9.990000,9.999000,9.988800,9.988911,10.000200,9.990000,9.999800,10.039800
