cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.041667,9.989667,9.995318,9.996047,9.993620,9.993749,9.995718,9.996047,9.989133,10.040733
1,10.035000,9.995000,9.989600,9.990000,9.999667,9.999467,9.990000,9.990000,9.995400,10.035400
2,10.042000,9.982000,9.990000,10.000200,9.989600,9.990000,9.989600,9.999800,9.988000,10.048000
3,10.033195,9.993195,9.990000,9.999400,9.989200,9.999400,9.998550,9.989200,9.996600,10.036600
4,10.043830,9.983830,9.990000,9.999800,9.989600,9.999518,9.997630,9.989600,9.989600,10.049600
5,10.037906,9.997906,9.990000,9.989600,9.999800,9.989440,9.989600,10.000200,9.989600,10.049600
6,10.046400,9.986400,9.999800,9.986000,9.999800,9.990000,9.999400,9.989600,9.999000,10.039000
7,10.041600,9.981600,9.990000,9.999000,9.989600,9.999673,9.989600,9.999800,9.989600,10.049600
8,10.030852,9.990852,9.989600,10.000200,9.989600,9.989600,9.999800,9.989600,9.999400,10.039400
9,10.042151,9.982151,9.990000,9.999000,9.998732,9.989600,9.999019,9.990000,9.987600,10.047600
10,10.046000,9.986000,9.999800,9.988800,9.990000,10.000200,9.990000,10.000200,9.997800,10.037800
11,10.038218,9.998218,9.990000,9.990000,9.999580,9.999800,9.990000,9.999400,9.989200,10.049200
12,10.046800,9.986800,9.990000,10.000200,9.990000,9.990000,9.999800,9.990000,9.999400,10.039400
13,10.037528,9.997528,9.987600,9.990000,9.999884,9.998838,9.989600,9.990000,9.997800,10.037800
14,10.032649,9.992649,9.986800,9.990000,9.997676,10.000200,9.990000,9.999800,9.988800,10.048800
15,10.041600,9.981600,9.990000,9.999400,9.987813,9.989732,9.998600,9.990000,9.989600,10.049600
16,10.043861,9.983861,9.999800,9.985200,9.998200,9.989200,9.997800,9.990000,9.999400,10.039400
17,10.035668,9.995668,9.990000,9.988800,9.995400,9.989506,9.990000,10.000200,9.990000,10.050000
18,10.036845,9.996845,9.990000,9.990000,9.990000,9.999800,9.989600,10.000200,9.989600,10.049600
19,10.045200,9.985200,9.990000,9.999800,9.990000,9.999427,9.998590,9.990000,9.998200,10.038200
20,10.029519,9.989519,9.990000,9.998871,9.999400,9.990000,9.989600,10.000200,9.986572,10.046572
21,10.038670,9.978670,9.990000,9.998402,9.999800,9.989193,9.998794,9.989600,9.996200,10.036200
22,10.029000,9.989000,9.999800,9.988800,9.989600,9.999684,9.990000,9.999400,9.988000,10.048000
23,10.040014,9.980014,9.990000,9.996850,9.989840,9.998351,9.999589,9.989600,9.990000,10.050000
24,10.042701,9.982701,9.999800,9.988317,9.999597,9.990000,9.998716,9.990000,9.998550,10.038550
25,10.034801,9.994801,9.990000,9.985200,9.997000,9.988031,9.999800,9.989600,9.987200,10.047200
26,10.045088,9.985088,9.997200,9.997806,9.990000,9.999707,9.989600,9.989600,9.996600,10.036600
27,10.036344,9.996344,9.987600,9.997679,9.989600,10.000200,9.999521,9.990000,9.988400,10.048400
28,10.038200,9.998200,9.990000,9.989200,9.998720,9.989600,9.999582,9.989200,9.989200,10.049200
29,10.046045,9.986045,9.990000,9.999400,9.999850,9.989600,9.989600,9.989600,9.997800,10.037800
30,10.037182,9.997182,9.990000,9.989600,9.999800,10.000200,9.999800,9.989200,9.989200,10.049200
31,10.044873,9.984873,10.000200,9.990000,9.989600,9.999000,9.999800,9.990000,9.988800,10.048800
32,10.043200,9.983200,9.990000,9.999132,9.990000,9.989083,9.990000,9.990000,9.998200,10.038200
33,10.034873,9.994873,9.982800,9.998601,10.000200,9.999278,9.989200,10.000200,9.985678,10.045678
34,10.036538,9.996538,10.000200,9.990000,9.990000,9.999800,9.998928,9.989200,9.997000,10.037000
35,10.044800,9.984800,9.990000,9.999254,9.999800,9.989006,9.998786,9.990000,9.990000,10.050000
36,10.032558,9.992558,9.990000,9.996600,10.000200,9.989862,9.990000,10.000200,9.990000,10.050000
37,10.031464,9.991464,9.991600,9.987694,9.988000,9.998912,9.987822,9.990000,9.999800,10.039800
38,10.042000,9.982000,9.992800,9.996566,9.987894,9.989626,9.997003,9.989600,9.997400,10.037400
