cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.044467,9.992467,9.995718,9.996047,9.992704,9.994082,9.992436,9.996047,9.983133,10.034733
1,10.037800,9.997800,9.990000,9.990000,9.998751,9.999800,9.998483,9.990000,9.989400,10.029400
2,10.045600,9.985600,9.999800,9.990000,9.999400,9.990000,9.987277,9.999800,9.987600,10.047600
3,10.043600,9.983600,9.990000,9.999800,9.990000,10.000200,9.990000,9.990000,9.999400,10.039400
4,10.034170,9.994170,9.990000,9.999800,9.999800,9.999800,9.998666,9.989200,9.996200,10.036200
5,10.039600,9.979600,10.000200,9.989200,9.999800,9.989390,9.987600,9.999800,9.987200,10.047200
6,10.042095,9.982095,9.990000,9.999400,10.000200,9.990000,9.990000,9.989600,9.996600,10.036600
7,10.032313,9.992313,9.989200,9.997000,9.990000,9.997008,9.999400,9.989600,9.990000,10.050000
8,10.034354,9.994354,9.991001,9.988400,9.999800,9.990000,9.999248,9.990000,9.989200,10.049200
9,10.046400,9.986400,9.985600,9.990000,9.999000,9.987999,9.999000,9.989600,9.999111,10.039111
10,10.043600,9.983600,9.989200,9.999000,9.988800,9.999281,9.990000,9.990000,9.997800,10.037800
11,10.035800,9.995800,9.988000,9.989200,9.999400,10.000150,9.990000,9.999800,9.989200,10.049200
12,10.033000,9.993000,9.988400,9.998600,9.989600,9.989854,10.000200,9.990000,9.989600,10.049600
13,10.040800,9.980800,10.000200,9.999000,9.989600,9.998580,9.990000,9.990000,9.999800,10.039800
14,10.034306,9.994306,9.986000,9.990000,9.999823,9.999226,9.989600,9.990000,9.997800,10.037800
15,10.034555,9.994555,9.988400,9.990000,9.989600,9.989600,9.999800,9.990000,9.989200,10.049200
16,10.043514,9.983514,9.990000,9.999800,9.999800,9.990000,9.999400,9.990000,9.989200,10.049200
17,10.035802,9.995802,9.999800,9.987600,9.999400,9.989600,9.989600,9.988400,9.999800,10.039800
18,10.045249,9.985249,9.990000,9.999694,9.989600,9.999725,9.989600,9.990000,9.996600,10.036600
19,10.036656,9.996656,9.990000,9.996711,9.990000,9.999790,9.999581,9.990000,9.988800,10.048800
20,10.045888,9.985888,9.990000,9.999869,9.999800,9.989600,9.989600,10.000200,9.988000,10.048000
21,10.036987,9.996987,9.990000,9.990000,10.000200,9.990000,9.999180,9.990000,9.998200,10.038200
22,10.046400,9.986400,10.000200,9.989600,9.989600,9.999610,9.989600,9.990000,9.998200,10.038200
23,10.045745,9.985745,9.990000,9.999800,9.990000,9.999800,9.998838,9.990000,9.989200,10.049200
24,10.035800,9.995800,9.996200,9.989600,9.999000,9.989600,9.999800,10.000200,9.988800,10.048800
25,10.032782,9.992782,9.986000,9.990000,10.000200,9.989270,9.989600,9.990000,9.999400,10.039400
26,10.039200,9.979200,9.990000,9.997800,9.988400,9.999623,9.990000,9.990000,9.997000,10.037000
27,10.038305,9.978305,9.999800,9.988400,9.988400,9.999400,9.988400,9.999800,9.988400,10.048400
28,10.029800,9.989800,9.989600,9.997606,9.989600,9.989600,9.999800,9.990000,9.998200,10.038200
29,10.040800,9.980800,9.998000,9.989181,10.000200,9.990000,10.000200,9.990000,9.989600,10.049600
30,10.043478,9.983478,9.990000,9.999400,9.989600,9.999573,9.989200,9.990000,9.999800,10.039800
31,10.035000,9.995000,9.987200,9.999800,10.000200,9.990000,9.999400,9.990000,9.999400,10.039400
32,10.045966,9.985966,9.999400,9.987600,9.999800,9.989600,9.999800,9.990000,9.990000,10.050000
33,10.036045,9.996045,9.989200,9.988217,9.989200,9.999303,9.989600,9.989600,9.999800,10.039800
34,10.045200,9.985200,9.990000,10.000200,9.990000,9.990000,9.999432,9.990000,9.995800,10.035800
35,10.046800,9.986800,9.989600,9.998284,10.000200,9.988800,9.989200,9.999800,9.986400,10.046400
36,10.035006,9.995006,9.991600,9.986400,9.999336,10.000200,9.999113,9.990000,9.988000,10.048000
37,10.045692,9.985692,9.988400,10.000200,9.989133,9.998511,9.999400,9.987600,9.998200,10.038200
