cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.045298,9.993769,9.995333,9.995498,9.993769,9.993282,9.995718,9.996047,9.989133,10.040733
1,10.040200,10.000200,9.990000,9.990000,10.000200,9.999000,9.990000,9.990000,9.995400,10.035400
2,10.044400,9.984400,9.999800,9.985600,9.988400,9.989200,9.988800,9.999800,9.988000,10.048000
3,10.042400,9.982400,9.990000,10.000200,9.988800,10.000200,9.998678,9.990000,9.997400,10.037400
4,10.034600,9.994600,9.988800,9.999800,9.988542,9.999800,9.999561,9.990000,9.990000,10.050000
5,10.035400,9.995400,9.997600,9.986400,9.997000,9.987600,9.989600,10.000200,9.988800,10.048800
6,10.042000,9.982000,9.986000,9.999000,9.999400,9.990000,9.998600,9.989600,9.997800,10.037800
7,10.040800,9.980800,9.989200,9.999400,9.989600,9.999400,9.989277,9.999800,9.987200,10.047200
8,10.031400,9.991400,9.990000,9.999000,9.990000,9.989600,9.999000,9.989200,9.998200,10.038200
9,10.043770,9.983770,9.990000,9.999800,9.999192,9.997619,9.999173,9.990000,9.988800,10.048800
10,10.046000,9.986000,9.999800,9.986400,9.998200,9.989200,9.989600,9.990000,9.999800,10.039800
11,10.037498,9.997498,9.990000,9.990000,9.999800,10.000119,9.990000,9.999800,9.988400,10.048400
12,10.046400,9.986400,9.990000,9.999800,9.990000,9.989600,10.000200,9.989200,9.997800,10.037800
13,10.039000,9.999000,9.987600,9.990000,10.000200,9.999800,9.989600,9.990000,9.997400,10.037400
14,10.035800,9.995800,9.995600,9.989200,9.999166,9.999903,9.990000,9.999800,9.988400,10.048400
15,10.041600,9.981600,9.988800,9.999400,9.989200,9.990000,9.998732,9.989600,9.989600,10.049600
16,10.042814,9.982814,9.999800,9.989200,9.999000,9.989600,9.998024,9.989600,9.999400,10.039400
17,10.032889,9.992889,9.990000,9.988400,9.998503,9.989200,9.989600,9.999800,9.989600,10.049600
18,10.033575,9.993575,9.988400,9.999000,9.988786,10.000200,9.990000,10.000200,9.989200,10.049200
19,10.046000,9.986000,10.000200,9.988000,9.988852,9.999800,9.999000,9.989600,9.997400,10.037400
20,10.038352,9.998352,9.990000,10.000200,9.998600,9.989425,9.989600,9.999400,9.988000,10.048000
21,10.036651,9.996651,9.990000,9.999800,9.999800,9.990000,9.997924,9.989200,9.996600,10.036600
22,10.043451,9.983451,9.996600,9.987200,9.996128,9.999400,9.988400,9.999000,9.988000,10.048000
23,10.039606,9.999606,9.990000,9.999800,9.989600,9.990000,9.998200,9.989200,9.988800,10.048800
24,10.050000,9.990000,9.990000,9.994115,9.990000,9.989122,9.998973,9.988800,9.996600,10.036600
25,10.038297,9.998297,9.997400,9.989600,9.990000,9.998600,9.998072,9.990000,9.989600,10.049600
26,10.047200,9.987200,9.990000,9.997800,9.989200,9.997693,9.999627,9.989600,9.999000,10.039000
27,10.037000,9.997000,9.988800,9.997400,9.989600,9.989796,9.999400,9.989600,9.988800,10.048800
28,10.047824,9.987824,9.999400,9.987704,9.999347,9.989600,9.999447,9.990000,9.989200,10.049200
29,10.046000,9.986000,9.988800,9.997800,9.998200,9.990000,9.989600,9.990000,9.998866,10.038866
30,10.037162,9.997162,9.990000,9.990000,9.999800,9.999800,9.998745,9.989600,9.989200,10.049200
31,10.047722,9.987722,10.000200,9.988000,9.989200,9.999252,9.999223,9.990000,9.988800,10.048800
32,10.046000,9.986000,9.990000,9.999490,9.989600,9.989600,9.990000,9.989600,9.996600,10.036600
33,10.034898,9.994898,9.990000,9.988059,9.999800,9.988800,9.999024,9.989600,9.987600,10.047600
34,10.046400,9.986400,9.989200,9.999034,9.990000,9.999133,9.997451,9.989200,9.997800,10.037800
35,10.036200,9.996200,9.990000,9.988800,9.999800,9.998868,10.000200,9.990000,9.988800,10.048800
36,10.048400,9.988400,9.999800,9.988400,10.000200,9.989332,9.989200,10.000200,9.988400,10.048400
37,10.033263,9.993263,9.990000,9.993400,9.989600,9.999741,9.989600,9.989200,9.997800,10.037800
38,10.041200,9.981200,10.000200,9.988000,9.989226,9.988975,9.997349,9.989600,9.997400,10.037400
39,10.041600,9.981600,9.990000,9.998461,9.999000,9.988800,9.999800,9.989600,9.988400,10.048400
40,10.034757,9.994757,9.990000,9.989220,9.999400,10.000200,9.989600,10.000200,9.998200,10.038200
41,10.044800,9.984800,10.000200,9.988800,9.989600,9.989600,9.989200,9.988000,9.995000,10.035000
42,10.043131,9.983131,9.990000,9.999700,9.999800,9.999400,9.999400,9.989200,9.987200,10.047200
43,10.034600,9.994600,9.990000,9.988000,9.989367,9.999574,9.997944,9.990000,9.997000,10.037000
44,10.044354,9.984354,9.986400,9.999800,9.989600,9.989200,9.988735,9.999800,9.988800,10.048800
45,10.046000,9.986000,9.989600,9.999800,9.999800,9.999400,9.998764,9.990000,9.988400,10.048400
46,10.035610,9.995610,9.990000,9.990000,9.990000,10.000200,9.999762,9.990000,9.999000,10.039000
47,10.047697,9.987697,9.990000,10.000200,9.989600,9.989303,9.990000,9.999800,9.989600,10.049600
48,10.033418,9.993418,9.989600,9.999400,9.998953,9.990000,9.999300,9.989600,9.990000,10.050000
49,10.037200,9.977200,9.999800,9.989600,9.999800,9.999212,9.989600,9.990000,9.998200,10.038200
50,10.038400,9.978400,9.990000,9.999101,9.989999,9.990000,9.989600,9.999800,9.988800,10.048800
51,10.028830,9.988830,9.988800,9.999800,9.990000,9.999500,9.999800,9.990000,9.990000,10.050000
52,10.040581,9.980581,9.999400,9.990000,9.999000,9.999800,9.999800,9.990000,9.999000,10.039000
53,10.030059,9.990059,9.990000,9.999400,10.000200,9.987659,9.989344,10.000200,9.989600,10.049600
54,10.042277,9.982277,9.989600,9.998200,9.989600,10.000048,9.990000,10.000200,9.988000,10.048000
55,10.029690,9.989690,9.994000,9.982736,9.986888,9.989592,9.999335,9.990000,9.999000,10.039000
56,10.034653,9.994653,9.984000,9.988090,9.999800,9.998445,9.990000,9.999800,9.990000,10.050000
57,10.043421,9.983421,9.989600,10.000200,9.998216,9.999400,9.988800,9.993000,9.988400,10.048400
58,10.047354,9.987354,10.000200,9.987962,9.988578,9.990000,9.991400,9.990000,9.994600,10.034600
59,10.036545,9.996545,9.990000,9.987629,9.999800,9.999800,9.988400,9.997400,9.984000,10.044000
60,10.047680,9.987680,9.989600,9.998200,9.990000,9.989600,9.989297,9.989200,9.989400,10.029400
61,10.046400,9.986400,9.999800,9.988000,9.988400,9.996200,9.988318,9.997800,9.987600,10.047600
62,10.035592,9.995592,9.990000,9.996200,9.990000,9.989600,9.992282,9.989200,9.989200,10.049200
63,10.033571,9.993571,10.000200,9.988000,9.999800,9.995000,9.983618,9.994400,9.999000,10.039000
64,10.042242,9.982242,9.988400,9.995737,9.986400,9.996200,9.998246,9.989200,9.986000,10.046000
65,10.032202,9.992202,9.990000,9.997619,9.999800,9.989600,9.990000,9.996200,9.986400,10.046400
66,10.032958,9.992958,9.990000,9.987848,9.983000,9.998717,10.000200,9.988800,9.999800,10.039800
67,10.044325,9.984325,9.999800,9.988629,9.996200,9.999800,9.988400,9.990000,9.997000,10.037000
68,10.046049,9.986049,9.990000,9.999134,9.986800,9.989878,9.999849,9.990000,9.987600,10.047600
69,10.034841,9.994841,9.990000,9.988175,9.996892,9.989600,9.988649,10.000200,9.988000,10.048000
70,10.036644,9.996644,9.990000,9.987998,9.998960,9.999400,9.989600,9.990000,9.997000,10.037000
71,10.045583,9.985583,9.990000,9.996963,9.999800,9.990000,9.987600,10.000200,9.986930,10.046930
72,10.046049,9.986049,9.990000,9.996520,9.990000,9.990000,9.999343,9.990000,9.994200,10.034200
73,10.037739,9.997739,10.000200,9.989949,9.989600,9.999800,9.987604,9.999000,9.988400,10.048400
74,10.045623,9.985623,9.990000,9.997801,9.989347,9.998600,9.999000,9.990000,9.988400,10.048400
75,10.036440,9.996440,9.989600,9.989680,10.000200,9.989600,9.998200,9.989600,9.997400,10.037400
76,10.046800,9.986800,9.989600,9.994379,9.989079,9.989699,9.999298,9.989600,9.986800,10.046800
77,10.036745,9.996745,9.990000,9.989319,9.999947,9.989378,9.989600,9.990000,9.996200,10.036200
78,10.036200,9.996200,9.988800,9.997535,9.998773,10.000200,9.988800,9.999400,9.988400,10.048400
79,10.046397,9.986397,9.990000,9.997899,9.989600,9.997516,9.999800,9.989600,9.988800,10.048800
80,10.037716,9.997716,9.990000,9.989200,9.998409,9.989749,9.998261,9.990000,9.998200,10.038200
81,10.038499,9.998499,9.987200,9.998334,9.990000,9.989667,9.999800,9.989600,9.988000,10.048000
82,10.046827,9.986827,9.990000,9.999800,9.990000,9.999727,9.990000,9.990000,9.997800,10.037800
83,10.037599,9.997599,9.999800,9.988947,9.999260,9.989600,9.999104,9.990000,9.988400,10.048400
84,10.048268,9.988268,9.990000,9.999400,9.999336,9.999800,9.990000,10.000200,9.998600,10.038600
85,10.039494,9.999494,9.990000,9.999400,9.990000,9.998578,9.999400,9.990000,10.000200,10.040200
86,10.046179,9.986179,9.989600,9.999800,9.990000,9.990000,9.999484,9.989600,9.990000,10.050000
87,10.030158,9.990158,9.995200,9.990000,9.999069,9.990000,9.999446,9.990000,10.000200,10.040200
88,10.041790,9.981790,9.990000,9.999800,9.990000,9.999800,9.989600,9.990000,9.997400,10.037400
89,10.029919,9.989919,9.999800,9.990000,9.999182,9.989600,9.990000,9.999800,9.988400,10.048400
90,10.039599,9.979599,9.990000,9.999238,10.000200,9.989983,10.000200,9.989600,9.988000,10.048000
91,10.029955,9.989955,9.990000,9.989332,9.989172,9.999069,9.999800,9.999800,9.999800,10.039800
92,10.042000,9.982000,9.992800,9.996604,9.989027,9.999000,9.989200,9.989600,9.996600,10.036600
93,10.033299,9.993299,9.990000,9.990000,9.999669,9.989907,9.999800,9.989200,9.987600,10.047600
94,10.035047,9.995047,9.988800,9.998815,9.999400,9.989600,9.999170,9.990000,9.988800,10.048800
95,10.045600,9.985600,9.988800,9.999400,9.989596,10.000200,9.989795,9.990000,9.999800,10.039800
96,10.046000,9.986000,9.988000,10.000200,9.999800,9.989600,9.999597,10.000200,9.988400,10.048400
97,10.034625,9.994625,9.990000,9.990000,9.989600,10.000200,9.989600,9.990000,9.997000,10.037000
98,10.046000,9.986000,9.990000,10.000200,9.988800,10.000200,10.000200,9.989600,9.988800,10.048800
99,10.036204,9.996204,9.990000,9.989200,9.999800,9.990000,10.000200,9.989600,9.989600,10.049600
