cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.042067,9.990067,9.994918,9.996047,9.993601,9.993740,9.995718,9.996047,9.989133,10.040733
1,10.035400,9.995400,9.989200,9.990000,9.999648,9.999458,9.990000,9.990000,9.995400,10.035400
2,10.043200,9.983200,9.990000,10.000200,9.990000,9.990000,9.990000,9.999800,9.988000,10.048000
3,10.034200,9.994200,9.990000,9.999400,9.989600,9.999400,9.999173,9.989200,9.996600,10.036600
4,10.044872,9.984872,9.990000,9.999800,9.990000,9.999800,9.997931,9.989200,9.989600,10.049600
5,10.039000,9.999000,9.990000,9.989600,10.000200,9.989200,9.988800,10.000200,9.989200,10.049200
6,10.046800,9.986800,9.999800,9.986000,9.999400,9.990000,9.999000,9.989600,9.998200,10.038200
7,10.041600,9.981600,9.989600,9.999400,9.990000,9.999800,9.989100,9.999800,9.986800,10.046800
8,10.033800,9.993800,9.988800,9.999800,9.999800,9.988771,9.999400,9.989600,9.998200,10.038200
9,10.044000,9.984000,9.999400,9.985200,9.998901,9.990000,9.999587,9.989600,9.989200,10.049200
10,10.045200,9.985200,9.990000,9.999400,9.990000,9.999400,9.990000,9.990000,9.999000,10.039000
11,10.035599,9.995599,9.990000,9.984800,9.998644,9.999800,9.990000,9.999800,9.989200,10.049200
12,10.048800,9.988800,10.000200,9.989200,9.990000,9.990000,9.999800,9.989600,9.999400,10.039400
13,10.037164,9.997164,9.990000,9.999800,9.990000,9.999211,9.989600,9.990000,9.997400,10.037400
14,10.032118,9.992118,9.990000,9.999800,9.998800,9.998600,9.988800,9.999800,9.988400,10.048400
15,10.041200,9.981200,10.000200,9.989600,9.988800,9.989385,9.999462,9.990000,9.989200,10.049200
16,10.041200,9.981200,9.999800,9.990000,9.998600,9.989600,9.998306,9.990000,9.999400,10.039400
17,10.032066,9.992066,9.989200,9.987600,9.996200,9.989600,9.989600,10.000200,9.989200,10.049200
18,10.033882,9.993882,9.999800,9.989600,9.989200,9.999800,9.989600,9.989600,9.999800,10.039800
19,10.046665,9.986665,9.987600,9.999800,9.989600,9.998447,9.998827,9.989200,9.995800,10.035800
20,10.047200,9.987200,9.990000,9.999400,9.999800,9.989098,9.990000,10.000200,9.989200,10.049200
21,10.035404,9.995404,9.990000,9.989600,9.999981,9.989600,9.998939,9.989600,9.998600,10.038600
22,10.046400,9.986400,9.999800,9.989021,9.999800,9.999408,9.990000,9.989600,9.996600,10.036600
23,10.046400,9.986400,9.990000,9.999800,9.989200,9.999400,10.000200,9.990000,9.988000,10.048000
24,10.036400,9.996400,9.990000,9.988800,9.999400,9.990000,9.998589,9.989600,9.998600,10.038600
25,10.036026,9.996026,9.988800,9.988800,9.999800,9.988364,9.999800,9.990000,9.988400,10.048400
26,10.048400,9.988400,9.990000,9.999084,9.987200,9.999447,9.989600,9.989600,9.998600,10.038600
27,10.036600,9.996600,9.989600,9.996415,9.989200,9.998600,10.000200,9.990000,9.988800,10.048800
28,10.036420,9.996420,9.989600,9.990000,9.999800,9.988992,9.998919,9.989200,9.989600,10.049600
