cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.040067,9.988067,9.995718,9.996047,9.993686,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.033400,9.993400,9.990000,9.990000,9.999733,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.040774,9.980774,9.989600,9.999800,9.989200,9.989200,9.989200,9.999800,9.988000,10.048000
3,10.034200,9.994200,10.000200,9.989600,9.988800,9.999800,9.998270,9.990000,9.997000,10.037000
4,10.043200,9.983200,9.989200,9.999000,9.989600,9.998778,9.998268,9.990000,9.990000,10.050000
5,10.039400,9.999400,9.990000,9.990000,9.999800,9.989200,9.989600,10.000200,9.989600,10.049600
6,10.044400,9.984400,9.999800,9.988800,9.999800,9.989589,9.989600,9.990000,9.998600,10.038600
7,10.043200,9.983200,9.990000,9.999000,9.989600,9.999204,9.999800,9.989600,9.989600,10.049600
8,10.037608,9.997608,9.985200,9.999000,10.000200,9.990000,10.000200,9.990000,9.989600,10.049600
9,10.033400,9.993400,9.993600,9.989600,9.999800,9.988800,9.999800,9.990000,9.999000,10.039000
10,10.042760,9.982760,9.989200,9.998600,9.989600,9.998546,9.989200,9.990000,9.997400,10.037400
11,10.027603,9.987603,9.999800,9.990000,9.999800,10.000200,9.990000,9.999800,9.988000,10.048000
12,10.039886,9.979886,9.989200,9.998600,9.989600,9.990000,9.999800,9.990000,9.998600,10.038600
13,10.029800,9.989800,9.990000,9.997400,9.989600,9.998691,9.989600,9.990000,9.996200,10.036200
14,10.044311,9.984311,9.990000,9.997800,9.997400,9.998200,9.989200,9.999800,9.988400,10.048400
15,10.033604,9.993604,9.999800,9.987600,9.989600,9.989783,9.998600,9.990000,9.988400,10.048400
16,10.035704,9.995704,9.986800,9.987848,9.999008,9.989600,9.999041,9.990000,9.998200,10.038200
17,10.045600,9.985600,9.995600,9.998200,9.999400,9.990000,9.987600,10.000200,9.987600,10.047600
18,10.036364,9.996364,9.989600,9.989600,9.988990,9.999400,9.989200,9.990000,9.996600,10.036600
19,10.046473,9.986473,9.987600,9.997400,9.990000,9.999485,9.999172,9.989600,9.989200,10.049200
20,10.044219,9.984219,9.990400,9.983400,9.999400,9.989110,9.990000,10.000200,9.990000,10.050000
21,10.036128,9.996128,9.986800,10.000200,9.999000,9.989600,9.998342,9.990000,9.999400,10.039400
22,10.045600,9.985600,9.997400,9.989600,9.989600,9.998921,9.990000,9.990000,9.997000,10.037000
23,10.045921,9.985921,9.990000,9.999800,9.990000,9.999800,9.999800,9.990000,9.987600,10.047600
24,10.035800,9.995800,9.985200,9.990000,9.999400,9.990000,9.999800,9.989600,9.988800,10.048800
25,10.036047,9.996047,10.000200,9.990000,9.999963,9.989071,9.989600,9.987600,9.998600,10.038600
26,10.045600,9.985600,9.989600,10.000200,9.990000,9.999800,9.990000,9.989600,9.996600,10.036600
