cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.040867,9.988867,9.995718,9.996047,9.993300,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.034200,9.994200,9.990000,9.990000,9.999347,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.043127,9.983127,9.990000,9.999000,9.989200,9.990000,9.989200,9.999800,9.988000,10.048000
3,10.034200,9.994200,9.999800,9.988800,9.989600,9.999800,10.000200,9.990000,9.997000,10.037000
4,10.044400,9.984400,9.988800,10.000200,9.989200,10.000200,9.998291,9.986400,9.990000,10.050000
5,10.039400,9.999400,9.989200,9.989200,9.999400,9.988800,9.982800,9.999800,9.989200,10.049200
6,10.046400,9.986400,9.999800,9.986800,9.998200,9.990000,9.998600,9.989200,9.997800,10.037800
7,10.042800,9.982800,9.990000,9.999400,9.988400,9.999800,9.988288,10.000200,9.986400,10.046400
8,10.033000,9.993000,9.990000,9.999400,9.999000,9.990000,9.998600,9.988800,9.997800,10.037800
9,10.044000,9.984000,9.999800,9.988000,9.999800,9.989200,9.999125,9.989600,9.989200,10.049200
10,10.044727,9.984727,9.990000,9.999400,9.990000,9.999400,9.989200,9.990000,9.998200,10.038200
11,10.039800,9.999800,9.989600,9.988000,9.999800,10.000200,9.989600,9.999800,9.989600,10.049600
12,10.046000,9.986000,10.000200,9.988000,9.988800,9.989600,9.999400,9.989600,9.999000,10.039000
13,10.040800,9.980800,9.990000,9.998200,9.990000,9.999800,9.990000,9.990000,9.997400,10.037400
14,10.030278,9.990278,9.984400,9.997800,10.000200,9.998200,9.988000,9.999800,9.987600,10.047600
15,10.039723,9.979723,9.999800,9.989574,9.990000,9.989600,9.999000,9.989600,9.987600,10.047600
16,10.029643,9.989643,10.000200,9.986761,9.999800,9.990000,9.999800,9.990000,9.998200,10.038200
17,10.040400,9.980400,9.990000,9.999800,9.999795,9.989200,9.989200,10.000200,9.989200,10.049200
18,10.031631,9.991631,9.990000,9.986400,9.989600,9.999800,9.989600,9.990000,9.999400,10.039400
19,10.041428,9.981428,9.999800,9.999304,9.989600,9.999800,9.998600,9.990000,9.995800,10.035800
20,10.042800,9.982800,9.989200,9.999202,9.999400,9.988549,9.990000,10.000200,9.988400,10.048400
21,10.032860,9.992860,9.990000,9.989844,10.000200,9.990000,9.999800,9.989600,9.998600,10.038600
22,10.046253,9.986253,9.997000,9.988400,9.989600,9.999800,9.989600,9.990000,9.996200,10.036200
23,10.046400,9.986400,9.990000,9.997800,9.990000,9.999800,9.999800,9.990000,9.988000,10.048000
24,10.035591,9.995591,9.993600,9.988722,9.999800,9.989600,9.999000,9.990000,9.997800,10.037800
