cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.041667,9.989667,9.995718,9.995647,9.993724,9.994082,9.995718,9.996047,9.989133,10.040733
1,10.035000,9.995000,9.990000,9.989600,9.999771,9.999800,9.990000,9.990000,9.995400,10.035400
2,10.043200,9.983200,9.990000,9.998200,9.990000,9.990000,9.988000,9.999800,9.988000,10.048000
3,10.033400,9.993400,9.989600,9.998200,9.989200,9.999000,9.999402,9.990000,9.997000,10.037000
4,10.044447,9.984447,9.994400,9.997800,9.989600,9.999250,9.999181,9.988400,9.990000,10.050000
5,10.038600,9.998600,9.989600,9.989600,9.999400,9.988800,9.988459,10.000200,9.990000,10.050000
6,10.046800,9.986800,9.999400,9.989600,9.999800,9.990000,9.999000,9.990000,9.998600,10.038600
7,10.042000,9.982000,9.990000,9.999800,9.990000,9.999400,9.989600,9.999800,9.986973,10.046973
8,10.031867,9.991867,9.989200,9.990000,9.989032,9.990000,9.999400,9.989600,9.998200,10.038200
9,10.041786,9.981786,9.990000,9.999800,9.999000,9.988800,9.999640,9.990000,9.989600,10.049600
10,10.046081,9.986081,9.999800,9.988800,9.988800,9.999800,9.989600,9.990000,9.999000,10.039000
11,10.038111,9.998111,9.990000,9.989600,9.999138,9.999800,9.989600,10.000200,9.988400,10.048400
12,10.047144,9.987144,9.989600,9.999000,9.989881,9.990000,9.999800,9.990000,9.998600,10.038600
13,10.037400,9.997400,10.000200,9.990000,9.999000,9.999400,9.989600,9.989600,9.997400,10.037400
14,10.033787,9.993787,9.986000,9.990000,9.999085,9.999800,9.988000,9.999800,9.988400,10.048400
15,10.044400,9.984400,9.987678,10.000200,9.987228,9.989600,9.999444,9.990000,9.989200,10.049200
16,10.045173,9.985173,9.999800,9.989600,9.998600,9.989200,9.998213,9.990000,9.999400,10.039400
17,10.036996,9.996996,9.990000,9.989200,10.000200,9.989600,9.989600,10.000200,9.989600,10.049600
18,10.038204,9.998204,9.989600,9.990000,9.989600,9.999400,9.990000,10.000200,9.997800,10.037800
19,10.046400,9.986400,9.990000,9.999800,9.989600,10.000200,9.997657,9.990000,9.997400,10.037400
20,10.027335,9.987335,9.989600,10.000200,9.999800,9.989600,9.988960,9.999800,9.980400,10.040400
21,10.039286,9.979286,10.000200,9.987677,9.999800,9.989600,9.997846,9.990000,9.997400,10.037400
22,10.029820,9.989820,10.000200,9.985172,9.990000,9.999800,9.988899,9.999800,9.988800,10.048800
23,10.033044,9.993044,9.990000,9.997519,9.990000,9.997753,9.997913,9.990000,9.989600,10.049600
24,10.042934,9.982934,10.000200,9.986346,9.999990,9.989600,9.998503,9.990000,9.996804,10.036804
25,10.035037,9.995037,9.990000,9.986686,9.991800,9.987091,9.997519,9.989600,9.988400,10.048400
26,10.045600,9.985600,9.990000,10.000200,9.989600,9.999800,9.989600,9.990000,9.996200,10.036200
27,10.035777,9.995777,9.990000,9.995445,9.988581,9.999800,10.000058,9.990000,9.987600,10.047600
28,10.037590,9.997590,9.990000,9.988400,9.998168,9.989600,10.000200,9.989200,9.988400,10.048400
29,10.045600,9.985600,9.999800,9.985600,9.997400,9.989200,9.989600,9.989200,9.998600,10.038600
30,10.039400,9.999400,9.990000,9.999800,10.000200,10.000200,9.999800,9.989600,9.988800,10.048800
31,10.045256,9.985256,10.000200,9.989600,9.989600,9.998987,10.000200,9.990000,9.988000,10.048000
32,10.043173,9.983173,9.989600,9.999592,9.990000,9.988392,9.990000,9.989600,9.998837,10.038837
33,10.033620,9.993620,9.989600,9.997800,9.998600,9.998600,9.985200,9.999800,9.985397,10.045397
34,10.035704,9.995704,9.990000,9.989600,9.990000,10.000200,9.998014,9.989600,9.996200,10.036200
35,10.046000,9.986000,9.990200,9.986000,9.998952,9.988995,9.999007,9.990000,9.988800,10.048800
36,10.032200,9.992200,9.990000,9.999800,9.999400,9.989058,9.990000,10.000200,9.989600,10.049600
37,10.032191,9.992191,9.989200,9.989363,9.989416,9.999048,9.990000,9.990000,9.999400,10.039400
38,10.041200,9.981200,9.997800,10.000200,9.989600,9.989600,9.997531,9.990000,9.997000,10.037000
39,10.043391,9.983391,9.999800,9.988697,10.000200,9.989550,10.000200,9.989600,9.988400,10.048400
40,10.034608,9.994608,9.990000,9.988019,9.999400,9.999692,9.989600,9.998600,9.998200,10.038200
41,10.046000,9.986000,9.989600,9.999800,9.990000,10.000200,9.990000,9.990000,9.994600,10.034600
42,10.044529,9.984529,9.988000,9.988967,9.999800,9.989716,9.999400,9.990000,9.987200,10.047200
43,10.035088,9.995088,10.000200,9.990000,9.990000,10.000200,9.989600,9.990000,9.996600,10.036600
44,10.046400,9.986400,9.990000,9.997800,9.990000,9.989727,9.989600,9.999400,9.989200,10.049200
45,10.035000,9.995000,9.989600,9.990000,9.999400,9.999800,9.999513,9.989600,9.989200,10.049200
46,10.037771,9.997771,9.999800,9.989600,9.989600,9.999186,9.998408,9.990000,9.998200,10.038200
47,10.045200,9.985200,9.990000,10.000200,9.990000,9.989600,9.990000,10.000200,9.989600,10.049600
48,10.029975,9.989975,9.990000,9.999400,9.999800,9.990000,9.999783,9.990000,9.988400,10.048400
49,10.038212,9.978212,9.999800,9.988513,9.999825,9.999400,9.990000,9.990000,9.997400,10.037400
50,10.036603,9.976603,9.990000,9.999400,9.988800,9.990000,9.988800,9.999800,9.988400,10.048400
51,10.031400,9.991400,9.990000,9.999000,9.990000,9.999214,9.999400,9.989600,9.989600,10.049600
52,10.038948,9.978948,10.000200,9.986400,9.994600,9.989518,9.999800,9.990000,9.999000,10.039000
53,10.037200,9.977200,9.990000,9.993964,9.997000,9.990000,9.989600,9.999800,9.990000,10.050000
54,10.030200,9.990200,9.994400,9.985200,9.984800,10.000179,9.998600,10.000200,9.987600,10.047600
55,10.042126,9.982126,9.990000,9.994498,9.990000,9.989200,9.998620,9.990000,9.997800,10.037800
56,10.045889,9.985889,9.998600,9.988651,9.998600,9.999400,9.998756,9.990000,9.984800,10.044800
57,10.036360,9.996360,9.990000,9.994570,9.999800,9.997800,9.987600,9.993600,9.992600,10.032600
58,10.046472,9.986472,9.996200,9.998290,9.989600,9.989600,9.995457,9.990000,9.988000,10.048000
59,10.037587,9.997587,9.989600,9.989600,10.000200,9.999800,9.988000,9.999800,9.988400,10.048400
60,10.046577,9.986577,9.995800,9.986636,9.998277,9.998986,9.990000,9.989600,9.997348,10.037348
61,10.045130,9.985130,9.990000,9.999800,9.989600,9.990000,9.999119,9.990000,9.988400,10.048400
62,10.036073,9.996073,9.997000,9.986495,9.999000,9.989600,9.989600,10.000200,9.988400,10.048400
63,10.036135,9.996135,9.988800,9.988332,10.000200,9.999800,9.989200,9.989600,9.993800,10.033800
64,10.046800,9.986800,9.990000,10.000200,9.989795,10.000200,9.990000,9.989200,9.993800,10.033800
65,10.046879,9.986879,9.990000,9.998217,10.000200,9.988733,10.000200,9.991600,9.985600,10.045600
66,10.037337,9.997337,9.990000,9.988800,9.999400,9.999800,9.990000,9.986000,9.997800,10.037800
67,10.044792,9.984792,9.994600,9.989600,9.989600,9.999800,9.988000,9.997200,9.995400,10.035400
68,10.040774,9.980774,9.990000,10.000200,9.990000,9.989600,9.999800,9.989600,9.987600,10.047600
69,10.033649,9.993649,10.000200,9.990000,10.000200,9.988751,10.000069,9.990000,9.988400,10.048400
70,10.034572,9.994572,9.988000,10.000200,9.987400,9.999800,9.989600,9.990000,9.998600,10.038600
71,10.046000,9.986000,10.000200,9.990000,9.999800,9.999800,9.990000,9.999800,9.988400,10.048400
72,10.046281,9.986281,9.990000,9.999800,9.990000,9.990000,9.999800,9.989600,9.999093,10.039093
73,10.035758,9.995758,9.990000,9.990000,10.000200,9.989600,9.989600,9.990000,9.996600,10.036600
74,10.043138,9.983138,9.993800,9.988800,9.999000,9.999274,9.999800,9.989600,9.988000,10.048000
75,10.030251,9.990251,9.990000,9.998358,9.989600,9.998600,9.990000,9.990000,9.997074,10.037074
76,10.040996,9.980996,9.990000,9.996382,9.999000,9.990000,10.000200,9.989600,9.995800,10.035800
77,10.029000,9.989000,10.000200,9.985153,9.997273,9.989125,9.989600,9.999800,9.987600,10.047600
