cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.042067,9.990067,9.995718,9.995647,9.993728,9.993373,9.995718,9.996047,9.989133,10.040733
1,10.035400,9.995400,9.990000,9.989600,9.999775,9.999091,9.990000,9.990000,9.995400,10.035400
2,10.043200,9.983200,9.988400,9.999000,9.988682,9.990000,9.988400,9.999800,9.988000,10.048000
3,10.032600,9.992600,9.988000,9.990000,9.989600,9.999400,9.998557,9.990000,9.997000,10.037000
4,10.042800,9.982800,9.992800,9.999800,9.990000,9.999225,10.000200,9.990000,9.989600,10.049600
5,10.036600,9.996600,9.988800,9.990000,9.999800,9.988800,9.988800,9.999400,9.989600,10.049600
6,10.046400,9.986400,9.999800,9.989600,9.999800,9.990000,9.999800,9.990000,9.998600,10.038600
7,10.042000,9.982000,9.990000,10.000200,9.989200,9.999800,9.988800,9.999400,9.988800,10.048800
8,10.033400,9.993400,9.989200,9.999400,9.999800,9.989600,9.999400,9.990000,9.999000,10.039000
9,10.046400,9.986400,9.999800,9.988000,9.998864,9.988098,9.999400,9.989600,9.987600,10.047600
10,10.046416,9.986416,9.990000,9.999400,9.990000,9.999398,9.990000,9.999800,9.997000,10.037000
11,10.036955,9.996955,9.990000,9.988400,9.999000,9.999800,9.989600,9.999800,9.988400,10.048400
12,10.048400,9.988400,10.000200,9.988400,9.989600,9.990000,9.999800,9.990000,9.999000,10.039000
13,10.036200,9.996200,9.990000,10.000200,9.989600,9.999325,9.989600,9.990000,9.997400,10.037400
14,10.033400,9.993400,9.990000,9.999000,9.999800,9.999358,9.988800,9.999400,9.987200,10.047200
15,10.044800,9.984800,9.999800,9.989600,9.990000,9.990000,9.998600,9.989200,9.989200,10.049200
16,10.040800,9.980800,10.000200,9.990000,9.999800,9.989600,9.999639,9.990000,9.998600,10.038600
17,10.031860,9.991860,9.990000,9.991800,9.999800,9.989600,9.989600,10.000200,9.989600,10.049600
18,10.033400,9.993400,10.000200,9.988400,9.988037,9.999800,9.989200,9.990000,9.998200,10.038200
19,10.045961,9.985961,9.988800,9.996600,9.985886,9.999800,9.999400,9.990000,9.996600,10.036600
20,10.044616,9.984616,9.998000,9.983000,9.999800,9.988845,9.990000,10.000200,9.988400,10.048400
21,10.035879,9.995879,9.988400,9.988800,9.999800,9.989508,9.999800,9.988800,9.998200,10.038200
22,10.046297,9.986297,9.999800,9.989149,9.990000,9.999208,9.989600,9.989600,9.994600,10.034600
23,10.046486,9.986486,9.990000,9.999800,9.990000,9.999680,9.999800,9.990000,9.988000,10.048000
24,10.034660,9.994660,9.990400,9.989200,10.000200,9.989471,9.999000,9.989200,9.998600,10.038600
25,10.035500,9.995500,9.986400,9.989600,9.999800,9.989125,9.999569,9.989600,9.989200,10.049200
26,10.046000,9.986000,9.989600,10.000200,9.989600,9.999400,9.989600,9.989600,9.997800,10.037800
27,10.035155,9.995155,9.989600,9.999000,9.990000,9.999048,9.999088,9.989600,9.989600,10.049600
28,10.037820,9.997820,9.990000,9.990000,10.000200,9.989600,10.000200,9.990000,9.988800,10.048800
29,10.043600,9.983600,9.999000,9.989600,9.999800,9.989600,9.989600,9.989600,9.997000,10.037000
30,10.039600,9.979600,9.990000,9.999800,9.999800,9.999800,9.999800,9.990000,9.988800,10.048800
31,10.030306,9.990306,9.988400,9.996811,9.989200,9.989200,9.999400,9.989600,9.988400,10.048400
32,10.041279,9.981279,10.000200,9.984934,9.998600,9.985513,9.989600,9.990000,9.997800,10.037800
33,10.036867,9.996867,9.990000,9.988665,9.990000,9.998600,9.987600,9.999800,9.987477,10.047477
34,10.037933,9.997933,9.989600,9.999800,9.989200,9.999000,9.999400,9.989600,9.999400,10.039400
35,10.043389,9.983389,9.999800,9.988400,9.999800,9.988511,9.998997,9.990000,9.995800,10.035800
36,10.036600,9.996600,9.990000,9.989200,9.999800,9.990000,9.988400,10.000200,9.987600,10.047600
37,10.033493,9.993493,9.990000,9.997400,9.990000,9.997400,9.990000,9.989200,9.998200,10.038200
38,10.040000,9.980000,10.000200,9.989531,9.988400,9.990000,9.996200,9.989600,9.995400,10.035400
39,10.041200,9.981200,9.990000,9.997477,9.999800,9.989600,9.999800,9.988800,9.988800,10.048800
40,10.032600,9.992600,9.990000,9.990000,9.997400,9.999400,9.989600,9.988000,9.998600,10.038600
41,10.044800,9.984800,9.989200,9.998200,9.989200,10.000200,9.989200,9.989600,9.995000,10.035000
42,10.043200,9.983200,10.000200,9.990000,10.000200,9.990000,9.999800,9.990000,9.986400,10.046400
43,10.035450,9.995450,9.990000,9.990000,9.989600,10.000200,9.989200,9.990000,9.996411,10.036411
44,10.045200,9.985200,9.989200,9.999400,9.989200,9.990000,9.988800,9.999800,9.988800,10.048800
45,10.035600,9.995600,9.987600,9.989600,9.999775,9.999800,9.999000,9.989600,9.989600,10.049600
46,10.035718,9.995718,9.987200,9.990000,9.987200,9.998867,9.998749,9.990000,9.999000,10.039000
47,10.045442,9.985442,9.990000,9.999800,9.988800,9.989600,9.989200,10.000200,9.989600,10.049600
48,10.034944,9.994944,9.988000,9.987200,9.999000,9.989886,9.999800,9.990000,9.989200,10.049200
49,10.037400,9.997400,9.997357,9.989600,9.999800,10.000123,9.990000,9.990000,9.998200,10.038200
50,10.042800,9.982800,9.989267,10.000200,9.988400,9.990000,9.988400,9.999800,9.988000,10.048000
51,10.031457,9.991457,9.990000,9.999400,9.990000,9.999791,9.999800,9.989600,9.989600,10.049600
52,10.039166,9.979166,10.000200,9.985600,9.993000,9.989071,9.999776,9.990000,9.998600,10.038600
53,10.038178,9.978178,9.990000,9.987800,10.000200,9.989428,9.990000,10.000200,9.989600,10.049600
54,10.029000,9.989000,9.993200,9.986975,9.990000,10.000200,9.990000,10.000200,9.988400,10.048400
55,10.040400,9.980400,9.989200,9.996600,9.989200,9.989200,9.999800,9.989600,9.999400,10.039400
56,10.042019,9.982019,9.998600,9.987200,9.999037,9.989595,9.999754,9.990000,9.989600,10.049600
57,10.034104,9.994104,9.990000,9.999800,9.989076,10.000200,9.988800,9.990000,9.998261,10.038261
58,10.046322,9.986322,9.990000,9.997713,9.999502,9.989447,9.999358,9.989600,9.994200,10.034200
59,10.037924,9.997924,9.990000,9.987104,9.999800,9.999800,9.988400,9.995800,9.987200,10.047200
60,10.047508,9.987508,10.000200,9.987492,9.999800,9.999186,9.989600,9.989200,9.995800,10.035800
61,10.047600,9.987600,9.990000,9.999800,9.990000,9.989571,9.999000,9.990000,9.988000,10.048000
62,10.035446,9.995446,9.997000,9.987537,9.998897,9.989600,9.999800,9.989600,9.988400,10.048400
63,10.036913,9.996913,9.986800,9.990000,9.999800,9.999800,9.989600,9.990000,9.998600,10.038600
64,10.047137,9.987137,9.990000,10.000200,9.989600,9.999400,9.989600,10.000200,9.989600,10.049600
65,10.046976,9.986976,9.989600,9.999800,9.999800,9.989200,10.000200,9.990000,9.988400,10.048400
66,10.036370,9.996370,9.989200,9.989200,9.999800,10.000113,9.990000,9.990000,9.997000,10.037000
67,10.044800,9.984800,10.000200,9.988800,9.989600,9.999800,9.988400,9.999800,9.987600,10.047600
68,10.030200,9.990200,9.989600,9.995800,9.989265,9.989600,9.999400,9.990000,9.989600,10.049600
69,10.028600,9.988600,9.989200,9.988488,9.998842,9.988314,9.999800,9.990000,9.999800,10.039800
70,10.038572,9.978572,9.998200,9.982787,10.000200,10.000146,9.990000,9.990000,9.996200,10.036200
71,10.026162,9.986162,9.989600,9.990200,9.989600,9.999800,9.989200,9.999800,9.985200,10.045200
72,10.036243,9.976243,9.999200,9.983000,9.989600,9.988800,9.999800,9.989600,9.997000,10.037000
73,10.028809,9.988809,9.988800,9.997920,9.999652,9.989600,9.990000,9.989600,9.995000,10.035000
74,10.040406,9.980406,10.000200,9.988400,9.999800,9.999704,9.999800,9.990000,9.987200,10.047200
75,10.041891,9.981891,9.989200,9.997750,9.988000,9.997800,9.989200,9.990000,9.998796,10.038796
76,10.034592,9.994592,9.990000,9.995514,9.999800,9.988922,9.999800,9.989200,9.988400,10.048400
77,10.035701,9.995701,9.989600,9.987861,9.999800,9.997800,9.989600,9.990000,9.995400,10.035400
78,10.045453,9.985453,10.000200,9.988826,9.988400,9.999253,9.988400,10.000200,9.987600,10.047600
79,10.034200,9.994200,9.990000,9.999352,9.989600,9.998057,9.999521,9.990000,9.988400,10.048400
80,10.035135,9.995135,9.989600,9.988751,9.996200,9.988400,9.996528,9.990000,9.997800,10.037800
81,10.046800,9.986800,10.000200,9.989200,9.989600,9.989535,9.988302,10.000200,9.987600,10.047600
82,10.045900,9.985900,9.990000,9.999587,9.990000,9.999800,9.990000,9.990000,9.995897,10.035897
83,10.034985,9.994985,9.989200,9.988914,10.000200,9.989266,9.999965,9.989600,9.988000,10.048000
84,10.045759,9.985759,9.997400,9.988129,9.990000,9.989200,9.990000,10.000200,9.998600,10.038600
85,10.045200,9.985200,9.990000,9.999432,9.990000,9.999704,9.990000,9.990000,9.997800,10.037800
86,10.035038,9.995038,9.993400,9.988400,9.999800,9.989600,9.999800,9.990000,9.989600,10.049600
87,10.035519,9.995519,9.986400,9.990000,9.999800,9.990000,9.999800,9.990000,9.999800,10.039800
88,10.046058,9.986058,9.988400,10.000200,9.990000,10.000200,9.990000,9.990000,9.995400,10.035400
89,10.045600,9.985600,9.989600,9.999800,10.000200,9.989600,9.989200,9.999800,9.988400,10.048400
90,10.036402,9.996402,9.988800,9.989600,9.999800,9.989200,9.999400,9.990000,9.989600,10.049600
91,10.049200,9.989200,9.997800,9.989600,9.988800,9.999472,9.989600,9.990000,9.999400,10.039400
92,10.035055,9.995055,9.989600,9.998600,9.989600,9.999000,9.989600,10.000200,9.989600,10.049600
93,10.041200,9.981200,10.000200,9.989564,9.989200,9.990000,10.000200,9.990000,9.990000,10.050000
94,10.039200,9.979200,9.999800,9.987691,9.999500,9.988821,9.989200,10.000200,9.999400,10.039400
95,10.028761,9.988761,9.989200,9.998828,9.989200,9.999554,9.988800,9.990000,9.997400,10.037400
96,10.039344,9.979344,9.999800,9.987898,9.999674,9.989085,10.000200,9.990000,9.987200,10.047200
97,10.041696,9.981696,9.990000,9.998600,9.989200,9.999800,9.989600,9.990000,9.997800,10.037800
98,10.035400,9.995400,9.988657,9.996200,9.988921,9.988790,9.999800,9.990000,9.988800,10.048800
99,10.043504,9.983504,9.999400,9.987600,9.996600,9.990000,9.999800,9.990000,10.000200,10.040200
100,10.035841,9.995841,9.990000,9.986800,9.999721,9.998875,9.999800,9.990000,9.998200,10.038200
101,10.046312,9.986312,10.000200,9.999800,9.989230,9.990000,9.988753,10.000200,9.989200,10.049200
102,10.038059,9.998059,9.990000,9.990000,9.990000,9.989600,9.999000,9.990000,9.988000,10.048000
103,10.036781,9.996781,9.989600,9.999800,9.998816,9.999800,9.999027,9.990000,9.999000,10.039000
104,10.046112,9.986112,9.990000,10.000200,9.999800,9.989600,9.988400,10.000200,9.989600,10.049600
105,10.035800,9.995800,9.987600,9.990000,9.989600,9.999800,9.989600,9.998600,9.989200,10.049200
106,10.038200,9.998200,9.999800,9.989600,9.996918,9.990000,9.995165,9.990000,9.997400,10.037400
107,10.045600,9.985600,9.990000,9.999000,9.990000,9.998536,9.990000,9.998989,9.985200,10.045200
108,10.029120,9.989120,9.989200,9.996600,9.988400,9.999000,9.995660,9.990000,9.995400,10.035400
109,10.039600,9.979600,9.999800,9.981200,10.000200,9.987708,9.989396,9.999000,9.989200,10.049200
110,10.038800,9.978800,9.990000,9.997622,9.999800,9.987200,9.989668,10.000200,9.988400,10.048400
